width	place	age	end.date	sign	slope	pval
4	state	all	NA	1	4.68571428571428	0.2
6	state	all	NA	1	1.25306122449015	0.438199648889479
8	state	all	NA	1	0.27551020408169	0.810051600864332
10	state	all	NA	-1	-0.105627705627704	0.885831417864718
12	state	all	NA	-1	-0.401098901098901	0.437770847703016
4	King	all	NA	1	0.628571428571429	0.245406225372961
6	King	all	NA	1	0.12653061224498	0.691322723076768
8	King	all	NA	1	0.0340136054421925	0.876542475106998
10	King	all	NA	1	0.0398268398268398	0.766872098279825
12	King	all	NA	-1	-0.0729270729270716	0.47690389681318
4	Snohomish	all	NA	1	0.442857142857143	0.427787104343404
6	Snohomish	all	NA	1	0.167346938775521	0.474933999432166
8	Snohomish	all	NA	1	0.0697278911564649	0.62001626066979
10	Snohomish	all	NA	1	0.0900432900432899	0.308404555713629
12	Snohomish	all	NA	1	0.0449550449550618	0.476237184444773
4	Pierce	all	NA	1	0.928571428571428	0.180751812130147
6	Pierce	all	NA	1	0.52244897959193	0.082323542798816
8	Pierce	all	NA	1	0.185374149659852	0.347796573497034
10	Pierce	all	NA	-1	-0.012987012987013	0.928793456241581
12	Pierce	all	NA	-1	-0.0104895104895211	0.916950793671586
4	Ann Arbor	all	NA	1	0.614285714285714	0.0779832200394965
6	Ann Arbor	all	NA	1	0.228571428571466	0.186173714725463
8	Ann Arbor	all	NA	1	0.268707482993196	0.0480510169787476
10	Ann Arbor	all	NA	1	0.271861471861472	0.00382076495901778
12	Ann Arbor	all	NA	1	0.230769230769264	0.00100307417242876
4	Boston	all	NA	1	0.9	0.0920908275490545
6	Boston	all	NA	1	0.587755102040876	0.0292109308872369
8	Boston	all	NA	1	0.515306122448949	0.00181652087614198
10	Boston	all	NA	1	0.404329004329004	0.000504666711477825
12	Boston	all	NA	1	0.313186813186859	0.000394142171404511
4	San Diego	all	NA	1	0.0714285714285713	0.936371523702422
6	San Diego	all	NA	1	0.375510204081668	0.300384458004264
8	San Diego	all	NA	1	0.443877551020406	0.0789350530775404
10	San Diego	all	NA	1	0.169696969696969	0.328998933951618
12	San Diego	all	NA	1	0.078421578421594	0.515275182743012
4	DC	all	NA	1	1.32857142857143	0.0269645281097661
6	DC	all	NA	1	0.653061224489895	0.0477042592126408
8	DC	all	NA	1	0.460884353741462	0.0161108316431889
10	DC	all	NA	1	0.316883116883116	0.0134403784349712
12	DC	all	NA	1	0.209290709290745	0.0243467137757088
4	USA	all	NA	1	138.571428571429	0.18856057237239
6	USA	all	NA	1	86.2122448979726	0.0537893607007882
8	USA	all	NA	1	71.4047619047632	0.135082932454602
10	USA	all	NA	1	56.2831168831168	0.0646180232593909
12	USA	all	NA	1	37.3971028971098	0.0814212025351109
