width	place	age	end.date	sign	slope	pval
4	state	all	NA	1	6.27142857142857	0.00681529063190628
6	state	all	NA	1	5.80816326530679	2.32493276427032e-05
8	state	all	NA	1	5.01870748299285	8.18117016084678e-06
4	King	all	NA	1	0.285714285714286	0.301569704230422
6	King	all	NA	1	0.595918367346979	0.0129546094637986
8	King	all	NA	1	0.636054421768673	0.000146671586322842
4	Snohomish	all	NA	1	0.1	0.281815153540392
6	Snohomish	all	NA	1	0.179591836734717	0.0191645565815944
8	Snohomish	all	NA	1	0.16156462585033	0.000753818550008299
4	Pierce	all	NA	1	0.0428571428571429	0.905835276913848
6	Pierce	all	NA	1	0.534693877551057	0.053621663002647
8	Pierce	all	NA	1	0.47959183673466	0.00456403040424425
4	Ann Arbor	all	NA	-1	-0.0571428571428571	0.105572809000084
6	Ann Arbor	all	NA	-1	-0.0408163265306129	0.158302423375513
8	Ann Arbor	all	NA	-1	-0.00340136054421616	0.855913629530631
4	Boston	all	NA	1	0.0571428571428571	0.6
6	Boston	all	NA	1	0.0244897959183773	0.612055238565597
8	Boston	all	NA	1	0.0221088435374105	0.50255698460571
4	San Diego	all	NA	1	1.28571428571429	0.296789153592257
6	San Diego	all	NA	1	1.09795918367359	0.0366643232296385
8	San Diego	all	NA	1	0.950680272108786	0.00275521579355494
4	DC	all	NA	-1	-0.0857142857142857	0.0513167019494862
6	DC	all	NA	-1	-0.00816326530613741	0.886826637795901
8	DC	all	NA	1	0.0221088435374116	0.571604127156784
