date	state	King	Snohomish	Pierce	Ann Arbor	Boston	San Diego	DC	USA
2020-01-26	0	0	0	0	0	0	0	0	0
2020-01-27	0	0	0	0	0	0	0	0	0
2020-01-28	0	0	0	0	0	0	0	0	0
2020-01-29	0	0	0	0	0	0	0	0	0
2020-01-30	0	0	0	0	0	0	0	0	0
2020-01-31	0	0	0	0	0	0	0	0	0
2020-02-01	0	0	0	0	0	0	0	0	0
2020-02-02	0	0	0	0	0	0	0	0	0
2020-02-03	0	0	0	0	0	0	0	0	0
2020-02-04	0	0	0	0	0	0	0	0	0
2020-02-05	0	0	0	0	0	0	0	0	0
2020-02-06	0	0	0	0	0	0	0	0	0
2020-02-07	0	0	0	0	0	0	0	0	0
2020-02-08	0	0	0	0	0	0	0	0	0
2020-02-09	0	0	0	0	0	0	0	0	0
2020-02-10	0	0	1.69087487518086	0	0	0	0	0	0
2020-02-11	0	2.23070376588032	6.39383259255587	0	0	0	0	0	0
2020-02-12	0.615497527762912	6.16070822065315	11.216316469668	0	0	0	0	0	0
2020-02-13	3.05514813471411	10.2034376230599	16.1674633227009	0	0	0	0	0	0
2020-02-14	5.57560687059402	14.3669728318661	21.2564099678384	1.87172423434893	0	0	0	0	0
2020-02-15	8.18236964617883	18.6593947058378	26.4922932212643	3.8295069439688	3.39137500780367	0	0	0	0
2020-02-16	10.8809323722447	23.0887841037404	31.8842498991624	5.86269940465729	7.4726354118794	0	0	0	0
2020-02-17	13.6765004089528	27.6626017098637	37.4405389859901	7.97571020708154	11.7266999424404	0	0	0	0
2020-02-18	16.5731169140044	32.3858275105937	43.1659081393002	10.1722842665835	16.1624022539024	0	0	0	0.291053699334407
2020-02-19	19.5745344944859	37.2628213178402	49.0642271849189	12.4560005796736	20.7883456632052	14.118803645764	0	0	3.6650621554214
2020-02-20	22.6845057574837	42.297942943513	55.1393659486726	14.8304381428626	25.6131334872885	31.5853936845713	0.91102912485958	0	7.22350324084005
2020-02-21	25.9067833100839	47.495552199522	61.3951942563876	17.299175952661	30.6453690430921	50.0236179217022	1.96381972872959	0	10.976639136613
2020-02-22	29.2451197593729	52.8600088977771	67.8355819338904	19.8657930055793	35.8936556475558	69.485816774892	3.07837706788618	0	14.9347320237631
