width	place	age	end.date	sign	slope	pval
4	state	all	NA	1	0.407187738803398	1.79775597241208e-06
6	state	all	NA	1	0.409447989819662	1.01224772764085e-10
8	state	all	NA	1	0.4123538054378	3.1860457307864e-14
10	state	all	NA	1	0.415905185659003	3.28355059089656e-17
12	state	all	NA	1	0.420102130482101	8.29500715601195e-20
4	King	all	NA	1	0.273614480492387	4.38360247697344e-08
6	King	all	NA	1	0.272810450920419	1.07431464056697e-11
8	King	all	NA	1	0.271140343556351	1.27743209582848e-14
10	King	all	NA	1	0.268604158400999	5.57881080474572e-17
12	King	all	NA	1	0.265201895453574	6.93989184603399e-19
4	Snohomish	all	NA	1	0.0385367697329372	5.63476115610161e-05
6	Snohomish	all	NA	1	0.0395853239691363	5.2811062000961e-08
8	Snohomish	all	NA	1	0.0407949610626684	1.88048510876479e-10
10	Snohomish	all	NA	1	0.0421656810136498	1.65826776356741e-12
12	Snohomish	all	NA	1	0.043697483821965	2.86127100007476e-14
4	Pierce	all	NA	1	0.0747001573630012	3.39290224966871e-06
6	Pierce	all	NA	1	0.0753019094561725	4.4817740993688e-10
8	Pierce	all	NA	1	0.0761055766627473	3.5435682178848e-13
10	Pierce	all	NA	1	0.0771111589829494	9.34568324534872e-16
12	Pierce	all	NA	1	0.0783186564165608	6.01091790205166e-18
4	Ann Arbor	all	NA	-1	-0.0153900727494873	4.50568496276916e-05
6	Ann Arbor	all	NA	-1	-0.0150468786585124	2.88794992964791e-08
8	Ann Arbor	all	NA	-1	-0.0146838545081361	6.76061297790502e-11
10	Ann Arbor	all	NA	-1	-0.0143010002984052	4.11726926929633e-13
12	Ann Arbor	all	NA	-1	-0.0138983160292754	5.53004338577639e-15
4	Boston	all	NA	-1	-0.0446388908651611	2.52797923608537e-05
6	Boston	all	NA	-1	-0.0440381692652572	3.73931218956199e-09
8	Boston	all	NA	-1	-0.0435677887726009	6.86673822481602e-13
10	Boston	all	NA	-1	-0.0432277493873259	8.42039359588928e-17
12	Boston	all	NA	-1	-0.0430180511093038	3.89125863341854e-21
4	San Diego	all	NA	-1	-0.0742617307084114	2.55273524311209e-07
6	San Diego	all	NA	-1	-0.073808066249069	2.30486286212793e-10
8	San Diego	all	NA	-1	-0.0727593382598662	2.0942206845623e-12
10	San Diego	all	NA	-1	-0.0711155467410306	6.9913981648545e-14
12	San Diego	all	NA	-1	-0.0688766916923442	7.24137253579058e-15
4	DC	all	NA	1	0.00464622610793688	0.00125837180924495
6	DC	all	NA	1	0.00526091946765825	1.98153354852253e-05
8	DC	all	NA	1	0.00598771530967104	8.41065167491895e-07
10	DC	all	NA	1	0.00682661363398996	6.19317892391577e-08
12	DC	all	NA	1	0.00777761444060045	6.33868910072548e-09
4	USA	all	NA	1	14.6747762468287	3.41814954315893e-07
6	USA	all	NA	1	14.7200498414444	1.01665942686413e-11
8	USA	all	NA	1	14.7874733915351	2.20723049884996e-15
10	USA	all	NA	1	14.8770468971431	1.76897779745603e-18
12	USA	all	NA	1	14.9887703582265	3.71952944775332e-21
