width	place	age	end.date	sign	slope	pval
4	state	all	NA	1	0.00253023138117783	0.00840344470096143
6	state	all	NA	1	0.00462483102914263	0.00441588657095322
8	state	all	NA	1	0.00843450557035145	0.00128069973794836
10	state	all	NA	1	0.0139592550047846	0.000277618115582179
12	state	all	NA	1	0.021199079332464	5.26035378035142e-05
4	King	all	NA	1	0.137711224895187	1.38384452435554e-05
6	King	all	NA	1	0.139237168576044	1.54081356238959e-09
8	King	all	NA	1	0.140650396944595	3.49760069074942e-13
10	King	all	NA	1	0.141950910001085	1.1309253644565e-16
12	King	all	NA	1	0.143138707745568	4.30238411263732e-20
4	Snohomish	all	NA	1	0.0452095094935078	1.84752657193982e-05
6	Snohomish	all	NA	1	0.0448160612338644	7.11655203105711e-10
8	Snohomish	all	NA	1	0.0446855433320995	4.68992576367627e-15
10	Snohomish	all	NA	1	0.0448179557882919	1.33889921700982e-19
12	Snohomish	all	NA	1	0.0452132986024572	9.97590599912849e-21
4	Pierce	all	NA	1	0.00631894154225705	2.0775689911233e-05
6	Pierce	all	NA	1	0.00656824936322426	3.71096299125453e-07
8	Pierce	all	NA	1	0.0071880258288778	9.44951531412668e-08
10	Pierce	all	NA	1	0.00817827093922501	3.65379229586561e-08
12	Pierce	all	NA	1	0.00953898469427112	1.59991474402603e-08
4	Ann Arbor	all	NA	1	0.0253712101613614	1.7425644533191e-05
6	Ann Arbor	all	NA	1	0.0250044716568074	4.94956359981216e-09
8	Ann Arbor	all	NA	1	0.0245994600045247	5.69779866743321e-12
10	Ann Arbor	all	NA	1	0.0241561752045573	1.84716294775906e-14
12	Ann Arbor	all	NA	1	0.0236746172569145	1.4018221943333e-16
4	Boston	all	NA	-1	-0.00837442855112078	8.88859996894501e-05
6	Boston	all	NA	-1	-0.00866376877716328	1.33527219423915e-07
8	Boston	all	NA	-1	-0.00900087997351864	7.57585864762907e-10
10	Boston	all	NA	-1	-0.00938576214020252	1.04377649500598e-11
12	Boston	all	NA	-1	-0.00981841527721787	2.73525344068452e-13
4	San Diego	all	NA	-1	-0.179081043860809	2.38207998288346e-07
6	San Diego	all	NA	-1	-0.178441702195541	2.00019070543451e-11
8	San Diego	all	NA	-1	-0.177351101019477	1.2882079848089e-14
10	San Diego	all	NA	-1	-0.175809240332948	3.31997348885771e-17
12	San Diego	all	NA	-1	-0.173816120136014	2.48844160908734e-19
4	DC	all	NA	1	0.024055044683546	2.09852189440007e-05
6	DC	all	NA	1	0.0237761367371815	2.06781149620527e-09
8	DC	all	NA	1	0.023580294739325	1.75186591043718e-13
10	DC	all	NA	1	0.0234675186900186	5.30460914381141e-18
12	DC	all	NA	1	0.0234378085892707	2.91550149523966e-23
4	USA	all	NA	1	11.6687211612854	8.83976179306642e-08
6	USA	all	NA	1	11.6807229022525	3.18929168933051e-13
8	USA	all	NA	1	11.7189173050536	2.84841012385747e-16
10	USA	all	NA	1	11.7833043697083	6.49793238957596e-19
12	USA	all	NA	1	11.873884096221	3.44384951412049e-21
