width	place	age	end.date	sign	slope	pval
7	state	all	NA	-1	-199.392857143467	0.660642155239955
14	state	all	NA	-1	-47.9934065934905	0.73499617256603
21	state	all	NA	-1	-10.8753246753446	0.87725495525227
28	state	all	NA	-1	-14.287903667162	0.763117317429846
35	state	all	NA	-1	-13.1607843137184	0.705877913179277
42	state	all	NA	-1	-10.8752127055938	0.686578613702764
7	King	all	NA	-1	-64.7142857144835	0.660642155239955
14	King	all	NA	-1	-12.6857142857387	0.774313911219299
21	King	all	NA	-1	-2.40000000000576	0.912483633685908
28	King	all	NA	-1	-2.7030651340859	0.849034022100624
35	King	all	NA	-1	-2.74901960784126	0.790016866256172
42	King	all	NA	-1	-1.97585284822401	0.800647535667959
7	Snohomish	all	NA	-1	-23.607142857215	0.660642155239955
14	Snohomish	all	NA	-1	-6.06813186814218	0.721633748847946
21	Snohomish	all	NA	-1	-1.56363636363888	0.854407055201005
28	Snohomish	all	NA	-1	-1.29255610289529	0.815406184471301
35	Snohomish	all	NA	-1	-1.28823529411687	0.750868002620214
42	Snohomish	all	NA	-1	-0.94603354671193	0.759408880094688
7	Pierce	all	NA	-1	-24.6785714286469	0.660642155239955
14	Pierce	all	NA	-1	-9.77362637364052	0.62736810339643
21	Pierce	all	NA	-1	-2.94545454545799	0.772596699844225
28	Pierce	all	NA	-1	-2.11548987410312	0.750735822159557
35	Pierce	all	NA	-1	-1.70224089635758	0.724768476571467
42	Pierce	all	NA	-1	-1.22040353293621	0.74009905923765
7	Ann Arbor	all	NA	-1	-26.5714285714936	0.363217467648317
14	Ann Arbor	all	NA	-1	-5.50109890110608	0.537107245277675
21	Ann Arbor	all	NA	-1	-2.88051948052174	0.550752266929376
28	Ann Arbor	all	NA	-1	-2.92665571975306	0.412222493990457
35	Ann Arbor	all	NA	-1	-1.81400560224022	0.476293625122638
42	Ann Arbor	all	NA	-1	-1.3746860059943	0.485042221052424
7	Boston	all	NA	-1	-4.7403509832776e-11	0.999999999999576
14	Boston	all	NA	-1	-0.446153846163494	0.987359123131657
21	Boston	all	NA	1	1.72727272727039	0.901360039772926
28	Boston	all	NA	1	0.563218390810527	0.949828285432595
35	Boston	all	NA	1	0.564705882353656	0.92805227400341
42	Boston	all	NA	1	0.841179807148729	0.854814001431696
7	San Diego	all	NA	1	70.0357142856079	0.814701383363667
14	San Diego	all	NA	1	17.7890109889817	0.870082855348057
21	San Diego	all	NA	1	4.02077922076569	0.945741988290961
28	San Diego	all	NA	1	0.0470717022773527	0.999025928697404
35	San Diego	all	NA	-1	-1.40140056021954	0.959616813850093
42	San Diego	all	NA	-1	-4.28368851793196	0.844577906203318
7	DC	all	NA	-1	-1.98653765924335e-11	0.999999999999576
14	DC	all	NA	-1	-11.0461538461692	0.630334616429133
21	DC	all	NA	1	4.13636363636374	0.681775819780003
28	DC	all	NA	1	0.494252873566419	0.93920178180394
35	DC	all	NA	1	0.311764705882769	0.943519804598818
42	DC	all	NA	1	0.628474191719598	0.841642531907596
7	USA	all	NA	-1	-13136.8928571705	0.152173765336958
14	USA	all	NA	-1	-5200.72747253468	0.199983022986236
21	USA	all	NA	-1	-1471.13766233926	0.4790765342584
28	USA	all	NA	-1	-1158.56486042549	0.388691791545388
35	USA	all	NA	-1	-919.132212884959	0.324942687291383
42	USA	all	NA	-1	-623.621829672923	0.369372001555223
