date	state	King	Snohomish	Pierce	Ann Arbor	Boston	San Diego	DC	USA
2020-01-26	0	0	0	0	0	0	0	0	0
2020-01-27	0	0	0	0	0	0	0	0	0
2020-01-28	0	0	0	0	0	0	0	0	0
2020-01-29	0	0	0	0	0	0	0	0	0
2020-01-30	0	0	0	0	0	0	0	0	0
2020-01-31	0	0	0	0	0	0	0	0	0
2020-02-01	0	0	0	0	0	0	0	0	0
2020-02-02	0	0	0	0	0	0	0	0	0
2020-02-03	0	0	0	0	0	0	0	0	0
2020-02-04	0	0	0	0	0	0	0	0	0
2020-02-05	0	0	0	0	0	0	0	0	0
2020-02-06	0	0	0	0	0	0	0	0	0
2020-02-07	0	0	0	0	0	0	0	0	0
2020-02-08	0	0	0	0	0	0	0	0	0
2020-02-09	0	0	0	0	0	0	0	0	0
2020-02-10	0	0	0.504799577308909	0	0	0	0	0	0
2020-02-11	0	1.23439959123478	5.06740269548249	0	0	0	0	0	0
2020-02-12	0	5.04014979502428	9.75600883529643	0	0	0	0	0	0
2020-02-13	2.34716004185102	8.96414816843983	14.5802881181356	0	0	0	0	0	0
2020-02-14	4.79149327692794	13.0149014029022	19.549910665385	1.17098538652926	0	0	0	0	0
2020-02-15	7.3260320916581	17.2009161898319	24.6745465984294	3.06015005718002	1.69686344666996	0	0	0	0
2020-02-16	9.95653678068513	21.5306992206499	29.9638660386538	5.02791262926788	5.61757272988454	0	0	0	0
2020-02-17	12.6884876921284	26.0121442545881	35.4266664172476	7.07890628519162	9.71768844456583	0	0	0	0
2020-02-18	15.5262453880104	30.6506933221249	41.0682544046184	9.21716750000538	14.0066905675853	0	0	0	0
2020-02-19	18.4738904838295	35.4511755215499	46.8930639809782	11.4465835719271	18.4938759391637	4.85671318283433	0	0	1.89508773286113
2020-02-20	21.535503595084	40.4184199511527	52.9055291265391	13.7710417991749	23.1885413995221	21.517925718073	0.555361909783659	0	5.28935836691038
2020-02-21	24.715165337272	45.557255709223	59.1100838215131	16.1944294799665	28.0999837888812	39.1777610700484	1.57663857770507	0	8.88332208530495
2020-02-22	28.016956325892	50.8725118940505	65.5111620461124	18.7206339125201	33.2374999474619	57.8911402507039	2.66159001681579	0	12.6877635657717
2020-02-23	31.4449571764421	56.3690176039247	72.113197780549	21.3535423950535	38.6103867154852	77.7129842719832	3.81364684457944	0	16.7134674860376
