width	place	age	end.date	sign	slope	pval
4	state	all	NA	1	188.257142857143	0.464236208633698
6	state	all	NA	1	210.844897959166	0.0691909488653474
8	state	all	NA	1	114.472789115635	0.0877465741483618
10	state	all	NA	1	36.5489177489177	0.477249124133831
12	state	all	NA	-1	-126.438061938004	0.364882041799787
4	King	all	NA	1	57.1428571428571	0.615990861333939
6	King	all	NA	1	123.546938775503	0.0450814397576112
8	King	all	NA	1	101.224489795911	0.00559125442002776
10	King	all	NA	1	61.6320346320345	0.0172254157406783
12	King	all	NA	1	13.7927072927242	0.671140291697804
4	Snohomish	all	NA	1	5.44285714285714	0.907788491288764
6	Snohomish	all	NA	1	29.6857142857127	0.16630181338534
8	Snohomish	all	NA	1	24.4829931972772	0.0411202855803339
10	Snohomish	all	NA	1	14.8242424242424	0.0617300153838887
12	Snohomish	all	NA	-1	-0.666833166822302	0.976657368644774
4	Pierce	all	NA	1	11.3714285714286	0.635075791757991
6	Pierce	all	NA	1	13.2734693877536	0.230152577933472
8	Pierce	all	NA	1	2.23639455782297	0.751761709439207
10	Pierce	all	NA	-1	-22.8285714285714	0.158240533360743
12	Pierce	all	NA	-1	-26.2487512487465	0.194158962366321
4	Ann Arbor	all	NA	1	33.6857142857143	0.0327402236593566
6	Ann Arbor	all	NA	1	25.6408163265287	0.00180704831914923
8	Ann Arbor	all	NA	1	21.1887755102026	0.00017654471060199
10	Ann Arbor	all	NA	1	10.8484848484848	0.0399173849487565
12	Ann Arbor	all	NA	1	2.47552447552602	0.581129516498947
4	Boston	all	NA	1	57.4571428571429	0.05925373547462
6	Boston	all	NA	1	55.8448979591801	0.000697154146772894
8	Boston	all	NA	1	47.7295918367314	4.34140609107833e-05
10	Boston	all	NA	1	29.6467532467532	0.00432742732412314
12	Boston	all	NA	1	11.7497502497542	0.193751348447195
4	San Diego	all	NA	1	69.9857142857143	0.0176736461126131
6	San Diego	all	NA	1	4.20408163264988	0.862134798112596
8	San Diego	all	NA	-1	-24.2040816326529	0.168808935199867
10	San Diego	all	NA	-1	-59.2857142857143	0.00686154548928195
12	San Diego	all	NA	-1	-138.433066933064	0.00250030202951703
4	DC	all	NA	-1	-13.9	0.831990012843784
6	DC	all	NA	1	18.7714285714278	0.482698005766326
8	DC	all	NA	1	17.892857142856	0.212693214562271
10	DC	all	NA	1	14.6545454545454	0.10943407809342
12	DC	all	NA	1	5.73326673326885	0.398877244592546
4	USA	all	NA	1	7121.58571428571	0.13328485298189
6	USA	all	NA	1	4986.48163265258	0.0252114113580059
8	USA	all	NA	1	2901.02891156434	0.0351597810200524
10	USA	all	NA	-1	-578.526406926411	0.704599410436021
12	USA	all	NA	-1	-7415.0354645348	0.0305250671539355
