width	place	age	end.date	sign	slope	pval
7	state	all	NA	-1	-4488.21428569801	0.338223542175028
14	state	all	NA	-1	-1308.63296703208	0.313022312066644
21	state	all	NA	-1	-264.659740259472	0.668249984209647
28	state	all	NA	1	223.899835796655	0.538900525061793
35	state	all	NA	1	386.385994397763	0.104277337271249
42	state	all	NA	1	392.288955514205	0.0187365576430055
7	King	all	NA	-1	-1389.14285713787	0.323006890223956
14	King	all	NA	-1	-559.698901098518	0.193916813205408
21	King	all	NA	-1	-143.531168831071	0.495458221047145
28	King	all	NA	1	24.932129173626	0.843837628479692
35	King	all	NA	1	103.121848739497	0.213376400662925
42	King	all	NA	1	119.929179158918	0.039402813080613
7	Snohomish	all	NA	-1	-457.785714283993	0.335122690368615
14	Snohomish	all	NA	-1	-163.290109890003	0.241337418073776
21	Snohomish	all	NA	-1	-41.5623376623023	0.54337751969709
28	Snohomish	all	NA	1	25.4614121510923	0.53170545124153
35	Snohomish	all	NA	1	45.7669467787119	0.0863377516110795
42	Snohomish	all	NA	1	46.6459768252245	0.0129061453631163
7	Pierce	all	NA	-1	-609.535714283492	0.35642152370951
14	Pierce	all	NA	-1	-149.397802197664	0.408931902893759
21	Pierce	all	NA	-1	-65.5298701298203	0.457206001090085
28	Pierce	all	NA	1	10.5484400657278	0.842206282024289
35	Pierce	all	NA	1	43.4266106442581	0.210701697548341
42	Pierce	all	NA	1	49.4940442427761	0.0421758019745986
7	Ann Arbor	all	NA	-1	-91.8928571423408	0.785199649149259
14	Ann Arbor	all	NA	-1	-47.8989010988403	0.595367168925037
21	Ann Arbor	all	NA	-1	-34.0116883116605	0.464829746211773
28	Ann Arbor	all	NA	1	2.66803503011834	0.922539091635604
35	Ann Arbor	all	NA	1	17.4952380952383	0.326857980859375
42	Ann Arbor	all	NA	1	18.5529535694074	0.13675259153752
7	Boston	all	NA	-1	-514.178571426713	0.331605087323348
14	Boston	all	NA	-1	-312.443956043795	0.0857845859871817
21	Boston	all	NA	-1	-150.663636363636	0.0972678596690357
28	Boston	all	NA	-1	-40.0396825397058	0.463044838672315
35	Boston	all	NA	1	12.5638655462186	0.72867186602561
42	Boston	all	NA	1	36.2463333603484	0.160178622197741
7	San Diego	all	NA	-1	-1831.03571428135	0.502209295498083
14	San Diego	all	NA	-1	-1140.69450549575	0.288037200592305
21	San Diego	all	NA	-1	-63.2818181820577	0.901837648769215
28	San Diego	all	NA	1	260.079912424713	0.376932901103451
35	San Diego	all	NA	1	325.115686274512	0.0873899284890203
42	San Diego	all	NA	1	312.75196499478	0.0187735708643458
7	DC	all	NA	-1	-254.964285713411	0.385959709622504
14	DC	all	NA	-1	-223.727472527348	0.0553928060598344
21	DC	all	NA	-1	-167.412987012899	0.0411508672009885
28	DC	all	NA	-1	-110.031472358974	0.0615174050314857
35	DC	all	NA	-1	-45.5207282913178	0.261387886879963
42	DC	all	NA	-1	-1.90940766551408	0.947399656107701
7	USA	all	NA	-1	-111063.928571166	0.0779543810615678
14	USA	all	NA	-1	-41953.7142857095	0.0454922761749431
21	USA	all	NA	-1	-14375.344155843	0.178232232474575
28	USA	all	NA	1	6232.70060208032	0.378509259579968
35	USA	all	NA	1	15457.1224089637	0.00272086921235943
42	USA	all	NA	1	17429.5417713338	5.81489058428518e-06
