date	state	King	Snohomish	Pierce	Ann Arbor	Boston	San Diego	DC
2020-01-26	0	0	0	0	0	0	0	0
2020-01-27	0	0	0	0	0	0	0	0
2020-01-28	0	0	0	0	0	0	0	0
2020-01-29	0	0	0	0	0	0	0	0
2020-01-30	0	0	0	0	0	0	0	0
2020-01-31	0	0	0	0	0	0	0	0
2020-02-01	0	0	0	0	0	0	0	0
2020-02-02	0	0	0	0	0	0	0	0
2020-02-03	0	0	0	0	0	0	0	0
2020-02-04	0	0	0	0	0	0	0	0
2020-02-05	0	0	0	0	0	0	0	0
2020-02-06	0	0	0	0	0	0	0	0
2020-02-07	0	0	0	0	0	0	0	0
2020-02-08	0	0	0	0	0	0	0	0
2020-02-09	0	0.92856059245105	5.09362330632213	0	0	0	0	0
2020-02-10	0	5.0332804780674	10.4080055193169	0	0	0	0	0
2020-02-11	2.33431580746069	9.29157100375773	15.9063178113913	0	0	0	0	0
2020-02-12	4.99308486743615	13.7153192938007	21.6024308503235	0	0	0	0	0
2020-02-13	7.77197433659703	18.316412472475	27.5102153038915	1.18971747584556	0	0	0	0
2020-02-14	10.679275261737	23.1067376640593	33.6435418398734	3.18153449714999	1.80622968718594	0	0	0
2020-02-15	13.7232786896497	28.0981819928322	40.0162811260472	5.28487709234376	6.11013395275618	0	0	0
2020-02-16	16.9122756671288	33.3026325830725	46.6423038301911	7.50672611514386	10.6778650539907	0	0	0
2020-02-17	20.2545860750541	38.7316932937043	53.534952920836	9.85438669462217	15.526027645727	0	0	0
2020-02-18	23.7586451306503	44.3958349222344	60.7054605695251	12.3364610612701	20.6745096990454	7.61630340383506	0.842821681567104	0
2020-02-19	27.4329168852282	50.305245000815	68.1645312485541	14.961875720934	26.1440200140872	25.9374060084814	1.99088661589263	0
2020-02-20	31.2858653900987	56.4701110615984	75.9228694302189	17.73955717946	31.9552673909934	45.7181308556194	3.22904471896404	0
2020-02-21	35.3259546965726	62.9006206367368	83.9911795868155	20.6784319426945	38.1289606299054	67.0594452146982	4.56352643267951	0
2020-02-22	39.5616488559607	69.6069612583825	92.38016619064	23.7874265164838	44.6858085309642	90.0623163551664	6.00056219893717	0
2020-02-23	44.0014119195738	76.5993204586878	101.100533713988	27.0754674066742	51.646519894311	114.827711546473	7.54638245963516	6.72135472750846
2020-02-24	48.6510886769246	83.8837011737655	110.157430878421	30.5494541221539	59.0278900913667	141.445006092579	9.20648117393521	14.6934241942326
2020-02-25	53.5060468703329	91.4493679555712	119.533783402566	34.208178183979	66.8310607786706	169.957207435496	10.9834063700534	23.3767066038976
2020-02-26	58.5590349803205	99.2814007600211	129.206961254312	38.048404116248	75.053260184042	200.395731051747	12.8789695934694	32.7962031077774
2020-02-27	63.8028014874089	107.364879543031	139.154334401552	42.0668964430588	83.6917165352998	232.791992417856	14.8949823896628	42.9769148571456
2020-02-28	69.2300948721198	115.684884260518	149.353272812177	46.2604196885098	92.7436580602631	267.177407010347	17.0332563041133	53.9438430032759
2020-02-29	74.8336636149748	124.226494868398	159.781146454077	50.6257383766991	102.206312986751	303.583390305744	19.2956028823006	65.721988697442
2020-03-01	80.6062561964957	132.974791322587	170.415325295145	55.159617031725	112.076909542583	342.041357780569	21.6838336697042	78.3363530909175
2020-03-02	86.540621097204	141.914853579001	181.233179303271	59.8588201776855	122.352675955577	382.582724911348	24.199760211804	91.8119373349762
2020-03-03	92.6295067976214	151.031761593556	192.212078446347	64.720112338679	133.030840453554	425.238907174602	26.8451940540794	106.173742580892
2020-03-04	98.8656617782696	160.310595322169	203.329392692264	69.7402580388036	144.108631264331	470.041320046856	29.6219467420102	121.446769979938
2020-03-05	105.24183451967	169.736434720755	214.562492008913	74.9160218021574	155.583276615729	517.021379004634	32.5318298210761	137.656020683388
2020-03-06	111.750773502345	179.294359745232	225.888746364186	80.2441681528388	167.452004735566	566.210499524459	35.5766548367566	154.826495842517
2020-03-07	118.385227206815	188.969450351514	237.285525725974	85.7214616149459	179.712043851661	617.640097082855	38.7582333345315	172.983196608596
2020-03-08	125.137944113603	198.746786495519	248.730200062167	91.344666712577	192.360622191833	671.341587156346	42.0783768598804	192.151124132902
2020-03-09	131.998004826428	208.606600336632	260.193088160541	97.1080130866451	205.387085471782	727.326887682912	45.5374399851245	212.350728150788
2020-03-10	138.939818441798	218.509732848111	271.616304088397	102.995590845323	218.749249358721	785.529926446363	49.1299493899517	233.584252733935
2020-03-11	145.934126179421	228.412177206685	282.93491073292	108.9889552136	232.397047007746	845.865133691968	52.8489747808914	255.849390538108
2020-03-12	152.951669259004	238.269926589084	294.083970981295	115.069661416462	246.280411573952	908.246939664993	56.6875858644731	279.14383421907
2020-03-13	159.963188900254	248.038974172035	304.998547720708	121.2192646789	260.349276212433	972.589774610705	60.6388523472262	303.465276432582
2020-03-14	166.939426322878	257.675313132267	315.613703838342	127.419320225899	274.553574078284	1038.80806877437	64.6958439356802	328.811409834409
2020-03-15	173.851122746582	267.134936646508	325.864502221383	133.651383282449	288.8432383266	1106.81625240126	68.8516303363643	355.179927080314
2020-03-16	180.670060011212	276.376884277592	335.691946014852	139.894623585327	303.163953868113	1176.49873797026	73.0980757589246	382.555657097199
2020-03-17	187.372182437163	285.372381132775	345.060799395106	146.118668918466	317.444412636111	1247.61986689477	77.4222224254723	410.871973896533
2020-03-18	193.934474964967	294.09569870542	353.941766796341	152.290761577591	331.60905831952	1319.91396282179	81.8099070612348	440.049387760923
2020-03-19	200.333922535157	302.521108488887	362.305552652751	158.378143858423	345.582334607265	1393.11534939835	86.24696639144	470.008408972978
2020-03-20	206.547510088268	310.622881976537	370.122861398531	164.348058056686	359.288685188273	1466.95835027145	90.7192371413153	500.669547815304
2020-03-21	212.55222256483	318.375290661734	377.364397467874	170.167746468103	372.652553751468	1541.17728908812	95.2125560360884	531.953314570509
2020-03-22	218.325044905379	325.752606037838	384.000865294976	175.804451388398	385.598383985777	1615.50648949535	99.7127598009871	563.780219521202
2020-03-23	223.842962050446	332.72909959821	390.002969314031	181.225415113293	398.050619580125	1689.68027514018	104.205685161239	596.07077294999
2020-03-24	229.082958940566	339.279042836213	395.341413959232	186.397879938512	409.933704223438	1763.43296966962	108.677168842071	628.745485139482
2020-03-25	234.022020516269	345.376707245208	399.986903664775	191.289088159777	421.172081604642	1836.49889673067	113.113047568712	661.724866372284
2020-03-26	238.637131718091	350.996364318557	403.910142864854	195.866282072813	431.690195412662	1908.61237997035	117.499158066388	694.929426931005
2020-03-27	242.905277486563	356.112285549621	407.081835993664	200.096703973341	441.412489336425	1979.50774303568	121.821337060329	728.279677098253
2020-03-28	246.803442762219	360.698742431761	409.472687485398	203.947596157085	450.263407064855	2048.91930957367	126.06542127576	761.696127156635
2020-03-29	250.308612485591	364.73000645834	411.053401774251	207.386200919769	458.167392286879	2116.58140323133	130.21724743791	795.09928738876
2020-03-30	253.404166163948	368.186988960156	411.806488958623	210.387590848724	465.06556743391	2182.23474842629	134.265727241053	828.410352102713
2020-03-31	256.099061571494	371.07716061776	411.761681793733	212.95815969772	470.965769907311	2245.64567265861	138.212072255652	861.553251708494
2020-04-01	258.408651049167	373.414631949137	410.960518699008	215.112131512137	475.892515850934	2306.58690419896	142.060569021213	894.452600641581
2020-04-02	260.348286937908	375.213513472275	409.444538093871	216.863730337353	479.87032140863	2364.831171318	145.815504077246	927.03301333745
2020-04-03	261.933321578654	376.487915705161	407.255278397749	218.227180218747	482.923702724251	2420.15120228641	149.481163963259	959.219104231581
2020-04-04	263.179107312347	377.251949165783	404.434278030066	219.216705201698	485.077175941647	2472.31972537484	153.061835218761	990.935487759451
2020-04-05	264.100996479923	377.519724372126	401.023075410248	219.846529331585	486.355257204669	2521.10946885398	156.56180438326	1022.10677835654
2020-04-06	264.714341422323	377.305351842178	397.06320895772	220.130876653787	486.78246265717	2566.29316099448	159.985357996264	1052.65759045832
2020-04-07	265.034494480486	376.622942093926	392.596217091906	220.083971213682	486.383308443001	2607.64353006702	163.336782597282	1082.51253850027
2020-04-08	265.076807995351	375.486605645357	387.663638232233	219.72003705665	485.182310706012	2644.93330434227	166.620364725823	1111.59623691787
2020-04-09	264.856634307856	373.910453014458	382.307010798125	219.05329822807	483.203985590054	2677.93521209088	169.840390921394	1139.8333001466
2020-04-10	264.389325758942	371.908594719216	376.567873209007	218.097978773321	480.47284923898	2706.42198158354	173.001147723504	1167.14834262194
2020-04-11	263.690234689546	369.495141277618	370.487763884306	216.868302737781	477.013417796641	2730.16634109091	176.106921671661	1193.46597877935
2020-04-12	262.774713440609	366.684203207651	364.108221243445	215.378494166829	472.850207406887	2748.94101888366	179.161999305375	1218.71082305433
2020-04-13	261.659236842002	363.492020626354	357.468720198954	213.644651155996	468.012359535002	2762.56959934672	182.169266648539	1242.8139298234
2020-04-14	260.364769679329	359.943352046975	350.600481635778	211.690368001411	462.547516931998	2771.07909132209	185.126007662594	1265.73211322727
2020-04-15	258.913399227127	356.065085581813	343.532662931966	209.541113049359	456.50794767032	2774.54735976605	188.028105793368	1287.42862734771
2020-04-16	257.327212759933	351.884109343168	336.294421465566	207.222354646119	449.945919822413	2773.05226963485	190.871444486685	1307.8667262665
2020-04-17	255.628297552284	347.42731144334	328.914914614628	204.759561137976	442.913701460721	2766.67168588478	193.651907188374	1327.00966406539
2020-04-18	253.838740878715	342.721579994628	321.423299757199	202.17820087121	435.463560657688	2755.4834734721	196.365377344261	1344.82069482615
2020-04-19	251.980630013765	337.793803109332	313.848734271329	199.503742192104	427.647765485759	2739.56549735307	199.007738400172	1361.26307263056
2020-04-20	250.074755114009	332.669724430288	306.218337722503	196.75915005538	419.51537385826	2719.02290244777	201.576497469039	1376.30336606552
2020-04-21	248.136717864176	327.370509722476	298.551078425947	193.957375849518	411.102603052043	2694.06995353149	204.075656332206	1389.92140173852
2020-04-22	246.180822831039	321.91618028141	290.863886884324	191.10886757144	402.442460184839	2664.94819534335	206.510840438123	1402.1003207622
2020-04-23	244.221374581365	316.326757402608	283.173693600298	188.224073218066	393.567952374384	2631.89917262244	208.887675235238	1412.82326424918
2020-04-24	242.272677681924	310.622262381585	275.497429076531	185.313440786316	384.512086738408	2595.16443010786	211.211786172002	1422.0733733121
2020-04-25	240.349036699487	304.822716513856	267.852023815687	182.387418273112	375.307870394646	2554.98551253873	213.488798696862	1429.83378906359
2020-04-26	238.464756200822	298.948141094938	260.254408320427	179.456453675374	365.98831046083	2511.60396465414	215.724338258269	1436.08765261628
2020-04-27	236.634140752701	293.018557420345	252.721513093416	176.530994990023	356.586414054694	2465.26133119319	217.924030304671	1440.8181050828
2020-04-28	234.871494921891	287.053986785595	245.270268637316	173.621490213979	347.135188293969	2416.19915689499	220.093500284518	1444.00828757579
2020-04-29	233.191123275163	281.074450486203	237.917605454789	170.738387344163	337.66764029639	2364.65898649864	222.238373646259	1445.64134120788
2020-04-30	231.607330379287	275.099969817684	230.680454048499	167.892134377497	328.21677717969	2310.88236474325	224.364275838342	1445.7004070917
2020-05-01	230.134420801033	269.150566075554	223.575744921109	165.0931793109	318.8156060616	2255.11083636791	226.476832309217	1444.16862633988
2020-05-02	228.786699107169	263.246260555329	216.620408575282	162.351970141294	309.497134059855	2197.58594611173	228.581668507334	1441.02914006505
2020-05-03	227.578469864466	257.407074552525	209.83137551368	159.678954865598	300.294368292186	2138.54923871382	230.684409881141	1436.26508937985
2020-05-04	226.524626799356	251.653597375589	203.225163862055	157.085214282008	291.23693204307	2078.24143624177	232.793085966488	1429.87353802098
2020-05-05	225.642420276924	246.008690384692	196.816642238507	154.584360393811	282.340913263951	2016.89997007716	234.925342648829	1421.90724022143
2020-05-06	224.949689821917	240.495782952937	190.620266884227	152.190638005568	273.619016073013	1954.76144893006	237.101229901018	1412.43287283824
2020-05-07	224.464274959082	235.138304453425	184.650494040403	149.918291921841	265.083944588445	1892.06248151055	239.340797695908	1401.51711272849
2020-05-08	224.204015213167	229.95968425926	178.921779948227	147.78156694719	256.748402928431	1829.03967652869	241.664096006355	1389.22663674923
2020-05-09	224.18675010892	224.983351743544	173.448580848885	145.794707886178	248.625095211158	1765.92964269457	244.091174805212	1375.62812175752
2020-05-10	224.430319171087	220.232736279379	168.24535298357	143.971959543365	240.726725554813	1702.96898871826	246.642084065333	1360.78824461041
2020-05-11	224.949715494784	215.729119799792	163.325215520787	142.326042575257	233.065494525199	1640.37199841575	249.337373369532	1344.7742026018
2020-05-12	225.748546456598	211.485194477509	158.695939338318	140.863581046138	225.651588478602	1578.26365602676	252.199590740456	1327.65527477295
2020-05-13	226.827573003485	207.511505045179	154.36395824126	139.589674872237	218.494690218921	1516.74662089692	255.251783810711	1309.50126060198
2020-05-14	228.1875560824	203.818596235451	150.335706034714	138.509423969784	211.60448255006	1455.92355237186	258.517000212906	1290.38195956698
2020-05-15	229.829256640298	200.417012780975	146.617616523778	137.627928255005	204.990648275919	1395.89710979722	262.018287579645	1270.36717114606
2020-05-16	231.753435624134	197.317299414401	143.21612351355	136.950287644131	198.662870200401	1336.76995251863	265.778693543536	1249.52669481731
2020-05-17	233.960853980865	194.530000868377	140.137660809129	136.481602053389	192.630831127408	1278.64473988174	269.821265737185	1227.93033005886
2020-05-18	236.452272657444	192.065661875555	137.388662215614	136.226971399009	186.904213860841	1221.62413123217	274.1690517932	1205.64787634879
2020-05-19	239.228452600829	189.934827168582	134.975561538104	136.19149559722	181.492701204603	1165.81078591557	278.845099344185	1182.74913316522
2020-05-20	242.290154757972	188.148041480109	132.904792581697	136.380274564249	176.405975962595	1111.30736327755	283.872456022749	1159.30389998624
2020-05-21	245.638140075831	186.715849542785	131.182789151493	136.798408216326	171.653720938719	1058.21652266377	289.274169461498	1135.38197628996
2020-05-22	249.273169501361	185.648796089261	129.815985052589	137.45099646968	167.245618936877	1006.64092341986	295.073287293039	1111.05316155449
2020-05-23	253.196003981516	184.957425852184	128.810814090085	138.343139240538	163.191352760972	956.683224891445	301.292857149977	1086.38725525793
2020-05-24	257.407404463252	184.652283564205	128.173710069079	139.479936445131	159.500605214904	908.446086424169	307.95592666492	1061.45405687837
2020-05-25	261.907390738493	184.741662347818	127.909463671685	140.867485420347	156.182385994491	862.01311022724	315.082519977486	1036.32304771688
2020-05-26	266.693017979039	185.224848884887	128.016293088075	142.515873185724	153.243012363208	817.391669964175	322.680567255336	1011.06243636621
2020-05-27	271.760600201657	186.098878247123	128.490773385438	144.436184181458	150.688128476446	774.57008216207	330.754975173144	985.740113242107
2020-05-28	277.106451423116	187.360785506235	129.32947963096	146.639502847748	148.523378489597	733.536663348016	339.310650405582	960.423968760275
2020-05-29	282.726885660184	189.007605733933	130.52898689183	149.136913624791	146.75440655805	694.279730049107	348.352499627325	935.181893336439
2020-05-30	288.618216929629	191.036374001927	132.085870235235	151.939500952785	145.386856837197	656.787598792436	357.885429513045	910.081777386318
2020-05-31	294.776759248218	193.444125381926	133.996704728361	155.058349271927	144.426373482427	621.048586105097	367.914346737415	885.19151132563
