date	state	Island	King	Ann Arbor	Boston	San Diego	DC	USA
2020-01-26	0	0	0	0	0	0	0	0
2020-01-27	0	0	0	0	0	0	0	0
2020-01-28	0	0	0	0	0	0	0	0
2020-01-29	0	0	0	0	0	0	0	0
2020-01-30	0	0	0	0	0	0	0	0
2020-01-31	0	0	0	0	0	0	0	0
2020-02-01	0	0	0	0	0	0	0	0
2020-02-02	0	0	0	0	0	0	0	0
2020-02-03	0	0	0	0	0	0	0	0
2020-02-04	0	0	0	0	0	0	0	0
2020-02-05	0	0	0	0	0	0	0	0
2020-02-06	0	0	0	0	0	0	0	0
2020-02-07	0	0	0	0	0	0	0	0
2020-02-08	0	0	0	0	0	0	0	0
2020-02-09	0	1.3227596563006	0	0	0	0	0	0
2020-02-10	0	5.17961821249344	0.906018124449101	0	0	0	0	0
2020-02-11	0	9.10747837420677	5.06119114099376	0	0	0	0	0
2020-02-12	2.34180329241585	13.112101119451	9.30694445855811	0	0	0	0	0
2020-02-13	4.98414889219928	17.1992474262365	13.6501991962486	0	0	0	0	0
2020-02-14	7.69720059987224	21.3746782725738	18.0978764731717	3.80201841367306	0	0	0	0
2020-02-15	10.4857283659659	25.6441546364732	22.656897408434	8.15481432176129	0	0	0	0
2020-02-16	13.3545021410112	30.0134374959451	27.3341831211418	12.652685936758	0	0	0	0
2020-02-17	16.3079911486857	34.4875943867338	32.1360375798052	17.3041211326705	4.20467571818512	0	0	0.792892893611551
2020-02-18	19.349461705252	39.0689190755182	37.066296150548	22.1163409779451	22.2154901239021	0	0	4.38615301040256
2020-02-19	22.4818794001194	43.759011886711	42.1281770488977	27.0962498396378	41.0252871335765	0.721777034179723	0	8.13879231648241
2020-02-20	25.7082098226968	48.559473144725	47.3248984903817	32.2507520848046	60.678780449024	1.80143827003037	0	12.0596240486282
2020-02-21	29.0314185623934	53.4719031739729	52.6596786905275	37.5867520805016	81.2206837720604	2.93469623849703	0	16.1574614436172
2020-02-22	32.4544712086183	58.4979022988675	58.1357358648623	43.1111541937846	102.695710804502	4.12442842319786	3.3565778492811	20.4411177382263
2020-02-23	35.9803333507804	63.6390708438215	63.7562882289138	48.8308627917098	125.148575248163	5.373512307751	10.6655305384503	24.9194061692329
2020-02-24	39.611970578289	68.8970091332476	69.5245539982092	54.7527822413331	148.623990804862	6.68482537577461	18.4076907721085	29.601139973414
2020-02-25	43.3523484805531	74.2733174915586	75.443751388276	60.8838169097105	173.166671176412	8.06124511088686	26.6050224105505	34.4951323875468
2020-02-26	47.2044326469817	79.7695962431671	81.5170986146415	67.2308711638981	198.821330064631	9.50564899670588	35.279489314071	39.6101966484084
2020-02-27	51.171188666984	85.387445712486	87.7478138928334	73.8008493709518	225.632681171334	11.0209145168498	44.4530553429647	44.955145992776
2020-02-28	55.255582129969	91.128466223928	94.1391154383788	80.6006558979275	253.645438198336	12.6099191549369	54.1476843575263	50.5387936574266
2020-02-29	59.4605786253459	96.9942581019058	100.694221466805	87.6371951118814	282.904314847454	14.2755403945852	64.3853402180505	56.3699528791375
2020-03-01	63.7891437425237	102.986421670832	107.41635019364	94.9173713798694	313.454024820504	16.0206557194128	75.1879867848321	62.4574368946857
2020-03-02	68.242620080731	109.103818404762	114.305955578495	102.445829345952	345.331251401627	17.8477669653967	86.5757183310227	68.8085368686
2020-03-03	72.8158582784737	115.334354376319	121.352434557316	110.218174762204	378.540556204266	19.7578733779482	98.5611507812013	75.4244556764145
2020-03-04	77.5020859840777	121.66319680777	128.542419810134	118.227753657705	413.078470424193	21.7515985548373	111.155030472804	82.3048741214155
2020-03-05	82.2945308458684	128.075512921381	135.862544016978	126.467912061537	448.941525257176	23.8295660938341	124.368103743267	89.4494730068885
2020-03-06	87.1864205121714	134.556469939419	143.299439857881	134.931996002777	486.126251898986	25.9923995927087	138.211116930027	96.8579331361197
2020-03-07	92.1709826313122	141.091235084148	150.839740012871	143.613351510507	524.629181545392	28.2407226492311	152.694816370519	104.529935312395
2020-03-08	97.2414448516166	147.664975577836	158.47007716198	152.505324613805	564.446845392164	30.5751588611714	167.829948402179	112.465160339
2020-03-09	102.39103482141	154.262858642749	166.177083985237	161.601261341753	605.575774635072	32.9963318262997	183.627259362444	120.66328901922
2020-03-10	107.612980189018	160.870051501153	173.947393162673	170.894507723428	648.012500469886	35.5048651423859	200.09749558875	129.124002156343
2020-03-11	112.900508602766	167.471721375314	181.767637374319	180.378409787912	691.753554092375	38.1013824072001	217.251403418532	137.846980553652
2020-03-12	118.24684771098	174.053035487499	189.624449300205	190.046313564284	736.795466698309	40.7865072185125	235.099729189227	146.831905014436
2020-03-13	123.645225161986	180.599161059973	197.504461620361	199.891565081624	783.134769483459	43.560863174093	253.653219238271	156.078456341978
2020-03-14	129.088868604108	187.095265315004	205.394307014818	209.907510369012	830.767993643593	46.4250738717117	272.922619903099	165.586315339566
2020-03-15	134.571005685673	193.526515474856	213.280618163606	220.087495455527	879.691670374482	49.3797629091386	292.918677521149	175.355162810484
2020-03-16	140.083059653785	199.874713433146	221.148203948281	230.418948467516	929.882372065998	52.4242897770021	313.644662074252	185.380229448991
2020-03-17	145.609236150666	206.10819976889	228.974578056497	240.865625920398	981.236835884426	55.5529575373634	335.073938121827	195.638945513227
2020-03-18	151.131936417316	212.19194973245	236.735430377434	251.385366426856	1033.63184019015	58.7588051451419	357.172393867689	206.104291152306
2020-03-19	156.633561694736	218.090938574192	244.406450800272	261.936008599576	1086.94416334357	62.034871555257	379.905917515653	216.749246515338
2020-03-20	162.096513223928	223.77014154448	251.963329214191	272.475391051242	1141.05058370506	65.3741957226282	403.240397269534	227.546791751438
2020-03-21	167.503192245891	229.194533893679	259.38175550837	282.961352394538	1195.82787963502	68.769816602175	427.141721333147	238.469907009717
2020-03-22	172.836000001626	234.329090872152	266.63741957199	293.35173124215	1251.15282949382	72.2147731488168	451.575777910306	249.491572439289
2020-03-23	178.077337732134	239.138787730265	273.70601129423	303.604366206763	1306.90221164187	75.7021043174731	476.508455204827	260.584768189265
2020-03-24	183.209606678416	243.588599718382	280.563220564269	313.67709590106	1362.95280443954	79.2248490630632	501.905641420524	271.722474408758
2020-03-25	188.215208081472	247.643502086866	287.184737271289	323.527758937726	1419.18138624722	82.7760463405068	527.733224761213	282.877671246881
2020-03-26	193.076543182303	251.268470086084	293.546251304468	333.114193929448	1475.46473542531	86.3487351047231	553.957093430709	294.023338852747
2020-03-27	197.77601322191	254.428478966398	299.623452552986	342.394239488908	1531.67963033418	89.9359543106316	580.543135632827	305.132457375466
2020-03-28	202.296019441294	257.088503978174	305.392030906023	351.325734228792	1587.70284933424	93.5307429131519	607.45723957138	316.178006964154
2020-03-29	206.618963081454	259.213520371776	310.827676252759	359.866516761784	1643.41117078585	97.1261398672034	634.665293450185	327.132967767921
2020-03-30	210.730111033212	260.777384673101	315.909734394187	367.97922764013	1698.67186723418	100.716079639679	662.128093871479	337.971053600424
2020-03-31	214.626192786667	261.789478510181	320.632174778552	375.645715174319	1753.31418796338	104.298078745363	689.786071031183	348.668912933498
2020-04-01	218.306803481737	262.268064786581	324.992622765912	382.852629614398	1807.15787644239	107.870549211016	717.574563523643	359.20392790352
2020-04-02	221.77153825834	262.231406405864	328.988703716326	389.586621210418	1860.02267614012	111.431903063396	745.428909943205	369.553480646867
2020-04-03	225.019992256396	261.697766271596	332.618042989853	395.834340212427	1911.7283305255	114.980552329262	773.284448884212	379.694953299918
2020-04-04	228.051760615824	260.68540728734	335.87826594655	401.582436870475	1962.09458306745	118.514909035373	801.076518941009	389.60572799905
2020-04-05	230.866438476541	259.212592356662	338.766997946475	406.81756143461	2010.9411772349	122.033385208487	828.740458707942	399.263186880642
2020-04-06	233.463620978466	257.297584383125	341.281864349689	411.526364154881	2058.08785649678	125.534392875363	856.211606779356	408.64471208107
2020-04-07	235.842903261519	254.958646270294	343.420490516248	415.695495281338	2103.354364322	129.016344062761	883.425301749594	417.727685736713
2020-04-08	238.003880465617	252.214040921734	345.180501806211	419.31160506403	2146.56044417949	132.477650797438	910.316882213003	426.489489983949
2020-04-09	239.946147730681	249.08203124101	346.559523579636	422.361343753005	2187.52583953818	135.916725106155	936.821686763926	434.907506959155
2020-04-10	241.669300196627	245.580880131685	347.555181196583	424.831361598312	2226.07029386698	139.331979015669	962.875053996709	442.959118798709
2020-04-11	243.172933003375	241.728850497324	348.165100017109	426.708308850002	2262.01355063483	142.721824552739	988.412322505697	450.621707638989
2020-04-12	244.456641290843	237.544205241492	348.386905401272	427.978835758122	2295.17535331065	146.084673744125	1013.36883088523	457.872655616373
2020-04-13	245.522565942873	233.046997996623	348.221738827465	428.636113310963	2325.40116967019	149.419631863971	1037.68446463753	464.694714700276
2020-04-14	246.383030818994	228.264445310633	347.684806247415	428.69939544978	2352.63936471652	152.728577175964	1061.31729689628	471.09211619226
2020-04-15	247.052905522658	223.22555446031	346.794829731182	428.194456854072	2376.86402775956	156.014081191176	1084.22994770302	477.074461226924
2020-04-16	247.547059657317	217.959332722438	345.570531348828	427.147072203333	2398.0492481092	159.278715420682	1106.38503709932	482.651350938869
2020-04-17	247.880362826423	212.494787373804	344.030633170413	425.583016177062	2416.16911507535	162.525051375553	1127.74518512671	487.832386462694
2020-04-18	248.067684633427	206.860925691194	342.193857265998	423.528063454756	2431.19771796791	165.755660566863	1148.27301182676	492.627168932998
2020-04-19	248.123894681782	201.086754951396	340.078925705644	421.007988715911	2443.1091460968	168.973114505685	1167.93113724102	497.045299484381
2020-04-20	248.06386257494	195.201282431194	337.704560559411	418.048566640024	2451.87748877191	172.179984703091	1186.68218141103	501.096379251444
2020-04-21	247.902457916352	189.233515407375	335.08948389736	414.675571906592	2457.47683530314	175.378842670155	1204.48876437836	504.790009368784
2020-04-22	247.654550309471	183.212461156725	332.252417789553	410.914779195113	2459.88127500041	178.572259917949	1221.31350618455	508.135790971002
2020-04-23	247.335009357748	177.167126956032	329.212084306049	406.791963185083	2459.06489717362	181.762807957547	1237.11902687115	511.143325192698
2020-04-24	246.958704664635	171.12652008208	325.98720551691	402.332898555998	2455.00179113267	184.953058300021	1251.86794647972	513.822213168471
2020-04-25	246.540505833584	165.119647811656	322.596503492196	397.563359987357	2447.66604618746	188.145582456444	1265.52288505181	516.182056032921
2020-04-26	246.095282468048	159.175517421546	319.058700301968	392.509122158655	2437.03175164791	191.342951937889	1278.04646262897	518.232454920647
2020-04-27	245.637221106406	153.319037470887	315.3919893559	387.195294387513	2423.1033497912	194.548159227794	1289.40728569151	519.985260887706
2020-04-28	245.177776026751	147.558721648213	311.612449422119	381.644324544039	2406.00669476372	197.765880699053	1299.59790647476	521.461324675982
2020-04-29	244.727718442105	141.898984924409	307.735630608361	375.877995136465	2385.89799367914	201.001213696924	1308.61686365283	522.683746948817
2020-04-30	244.29781956549	136.344242270359	303.777083022368	369.918088673022	2362.93345365111	204.259255566666	1316.46269589981	523.675628369553
2020-05-01	243.898850609927	130.898908656948	299.752356771877	363.786387661942	2337.26928179331	207.545103653538	1323.1339418898	524.46006960153
2020-05-02	243.541582788437	125.56739905506	295.677001964627	357.504674611456	2309.06168521941	210.8638553028	1328.62914029688	525.06017130809
2020-05-03	243.236787314042	120.354128435581	291.566568708358	351.094732029796	2278.46687104308	214.220607859708	1332.94682979516	525.499034152576
2020-05-04	242.995235399763	115.263511769394	287.436607110808	344.578342425194	2245.64104637798	217.620458669522	1336.08554905873	525.799758798327
2020-05-05	242.827698258622	110.299964027384	283.302667279716	337.977288305881	2210.74041833779	221.068505077502	1338.04383676169	525.985445908686
2020-05-06	242.74494710364	105.467900180436	279.180299322821	331.313352180087	2173.92119403617	224.569844428905	1338.82023157813	526.079196146994
2020-05-07	242.757753147839	100.771735199434	275.085053347861	324.608316556046	2135.33958058679	228.12957406899	1338.41327218215	526.104110176593
2020-05-08	242.876887604239	96.2158840552634	271.032479462577	317.883963941988	2095.15178510332	231.752791343016	1336.82149724784	526.083288660824
2020-05-09	243.113121685864	91.804761718808	267.038127774706	311.162076846145	2053.51401469942	235.444593596242	1334.0434454493	526.039832263029
2020-05-10	243.477226605733	87.5427831609525	263.117548391988	304.464437776749	2010.58247648878	239.210078173927	1330.07765546063	525.996841646548
2020-05-11	243.979360581933	83.4338870098411	259.285794542269	297.811277128159	1966.50812324939	243.055735817406	1324.93035286909	525.977420673446
2020-05-12	244.627229852805	79.4801065226556	255.555931933826	291.216616839248	1921.42089041667	246.993630852331	1318.63851091469	526.004686000673
2020-05-13	245.427927661755	75.6829986138373	251.940529395045	284.692926735018	1875.44545909034	251.037221000427	1311.2467897506	526.101757483902
2020-05-14	246.388547252189	72.0441201978274	248.452155754311	278.252676640471	1828.70651037017	255.199963983422	1302.79984952999	526.291754978806
2020-05-15	247.516181867511	68.5650281890673	245.103379840008	271.908336380607	1781.32872535589	259.495317523044	1293.34235040603	526.597798341056
2020-05-16	248.817924751128	65.2472795019983	241.906770480521	265.67237578043	1733.43678514725	263.93673934102	1282.91895253191	527.043007426327
2020-05-17	250.300869146444	62.0924310510617	238.874896504236	259.557264664939	1685.15537084399	268.537687159077	1271.57431606079	527.65050209029
2020-05-18	251.972108296867	59.1020397506988	236.020326739538	253.575472859137	1636.60916354586	273.311618698942	1259.35310114584	528.443402188617
2020-05-19	253.838735445801	56.2776625153509	233.355630014812	247.739470188025	1587.9228443526	278.271991682344	1246.29996794025	529.444827576983
2020-05-20	255.907843836652	53.6208562594593	230.893375158442	242.061726476605	1539.22109436395	283.432263831009	1232.45957659718	530.677898111059
2020-05-21	258.186526712826	51.1331778974653	228.646130998814	236.554711549878	1490.62859467967	288.805892866665	1217.87658726982	532.165733646519
2020-05-22	260.681877317728	48.8161843438103	226.626466364313	231.230895232846	1442.2700263995	294.406336511038	1202.59566011132	533.931454039033
2020-05-23	263.400988894763	46.6714325129354	224.846950083324	226.10274735051	1394.27007062317	300.247052485857	1186.66145527488	535.998179144277
2020-05-24	266.350954687338	44.7004793192821	223.320150984231	221.182737727872	1346.75340845044	306.341498512849	1170.11863291366	538.389028817921
2020-05-25	269.537287956533	42.9039838440547	222.056950600503	216.482471268475	1299.83192726643	312.701876531155	1153.01342359081	541.125164595063
2020-05-26	272.959182034132	41.2790138355099	221.061481285938	212.010093190027	1253.56633959778	319.335365349576	1135.39833950941	544.219914728496
2020-05-27	276.614250269591	39.8217392086676	220.336188099417	207.77288378878	1208.0045642565	326.247887994325	1117.32746328251	547.684649150435
2020-05-28	280.500106012369	38.5283298785475	219.883516099821	203.778123360985	1163.19452005462	333.445367491617	1098.85487752316	551.530737793099
2020-05-29	284.614362611924	37.3949557601695	219.705910346032	200.033092202892	1119.18412580416	340.933726867666	1080.03466484442	555.769550588704
2020-05-30	288.954633417713	36.4177867685534	219.80581589693	196.545070610751	1076.02130031712	348.718889148686	1060.92090785934	560.412457469466
2020-05-31	293.518531779196	35.592992818719	220.185677811397	193.321338880814	1033.75396240554	356.806777360892	1041.56768918097	565.470828367603
