width	place	age	end.date	sign	slope	pval
7	state	all	NA	-1	-3.42857142856717	0.302189177325035
14	state	all	NA	-1	-0.503296703297636	0.655620409950681
21	state	all	NA	-1	-0.427272727272721	0.482885313767664
28	state	all	NA	-1	-0.176518883414923	0.653105924874279
35	state	all	NA	-1	-0.0851540616246323	0.751184937116087
42	state	all	NA	-1	-0.0664451827242604	0.758944837006708
7	King	all	NA	-1	-0.499999999999073	0.426291450638971
14	King	all	NA	-1	-0.345054945055367	0.333511233069961
21	King	all	NA	-1	-0.172727272727271	0.337504427908944
28	King	all	NA	-1	-0.0374931581826881	0.729735885716699
35	King	all	NA	-1	-0.0473389355742383	0.539362131497284
42	King	all	NA	-1	-0.0234178753747657	0.700915853311506
7	Snohomish	all	NA	-1	-0.357142857142475	0.263979933365348
14	Snohomish	all	NA	-1	-0.052747252747344	0.618579212700074
21	Snohomish	all	NA	-1	-0.0337662337662321	0.578039035265789
28	Snohomish	all	NA	-1	-0.0218938149972093	0.586649966322362
35	Snohomish	all	NA	-1	-0.00840336134453637	0.755974218940853
42	Snohomish	all	NA	-1	-0.0129649137022922	0.605268760953891
7	Pierce	all	NA	-1	-0.571428571427862	0.302189177325035
14	Pierce	all	NA	1	0.160439560439654	0.360197328696656
21	Pierce	all	NA	1	0.0636363636363628	0.411518441116848
28	Pierce	all	NA	-1	-0.00191570881223817	0.968923893877988
35	Pierce	all	NA	1	0.0159663865546273	0.691833444672129
42	Pierce	all	NA	1	0.00210679847662018	0.941983500196632
7	Ann Arbor	all	NA	-1	-0.357142857141766	0.363217467650129
14	Ann Arbor	all	NA	1	0.0329670329670372	0.725522280810306
21	Ann Arbor	all	NA	-1	-0.0142857142857136	0.779388997924026
28	Ann Arbor	all	NA	-1	-0.00136836343731436	0.96306027402345
35	Ann Arbor	all	NA	1	0.00168067226890933	0.931349801968197
42	Ann Arbor	all	NA	-1	-0.000648245685113995	0.964566437482482
7	Boston	all	NA	1	5.45486091998303e-14	0.999999999999471
14	Boston	all	NA	-1	-0.12527472527486	0.0355643570299276
21	Boston	all	NA	-1	-0.0259740259740259	0.387615692567112
28	Boston	all	NA	-1	-0.0194307608100328	0.352245979297703
35	Boston	all	NA	-1	-0.0196078431372531	0.216375377797477
42	Boston	all	NA	-1	-0.0164492342597822	0.188466670351676
7	San Diego	all	NA	-1	-0.428571428569737	0.527076189209992
14	San Diego	all	NA	-1	-0.169230769231022	0.478955661940025
21	San Diego	all	NA	-1	-0.0103896103896084	0.927383947147096
28	San Diego	all	NA	-1	-0.0120415982484207	0.890009902329268
35	San Diego	all	NA	1	0.0324929971988822	0.563245681613007
42	San Diego	all	NA	1	0.0143424357831634	0.730160033640483
7	DC	all	NA	-1	-0.285714285714667	0.261651766298158
14	DC	all	NA	-1	-0.0153846153846399	0.806493878692725
21	DC	all	NA	-1	-0.00649350649350612	0.834669482675848
28	DC	all	NA	1	0.00684181718664457	0.693715764938965
35	DC	all	NA	1	0.00476190476190481	0.674632957810281
42	DC	all	NA	1	0.00316019771493402	0.694696366221484
7	USA	all	NA	-1	-98.7499999997851	0.11175460139872
14	USA	all	NA	-1	-18.3780219780565	0.462023503201241
21	USA	all	NA	1	1.48441558441562	0.911917005644513
28	USA	all	NA	1	0.934044882329232	0.908525346354077
35	USA	all	NA	1	1.2770308123251	0.81406326325345
42	USA	all	NA	-1	-0.516813872457499	0.902476959471288
