width	place	age	end.date	sign	slope	pval
4	state	all	NA	1	1.62857142857143	0.549445827016465
6	state	all	NA	1	0.759183673469772	0.634702355053846
8	state	all	NA	-1	-0.394557823129285	0.668654688220793
4	King	all	NA	1	0.0714285714285718	0.967762056952415
6	King	all	NA	-1	-0.130612244897983	0.838491533080908
8	King	all	NA	-1	-0.127551020408156	0.70096488941643
4	Snohomish	all	NA	-1	-0.128571428571429	0.386205094476574
6	Snohomish	all	NA	1	0.155102040816334	0.197946405958662
8	Snohomish	all	NA	1	0.0323129251700567	0.677873119354667
4	Pierce	all	NA	1	1.54285714285714	0.227783049651908
6	Pierce	all	NA	1	0.673469387755364	0.441178686564967
8	Pierce	all	NA	-1	-0.103741496598652	0.842863763349135
4	Ann Arbor	all	NA	1	0.0285714285714286	0.683772233983162
6	Ann Arbor	all	NA	-1	-0.0367346938775562	0.360227304878416
8	Ann Arbor	all	NA	-1	-0.0867346938775473	0.0158682162762204
4	Boston	all	NA	1	0.1	0.0561201925514611
6	Boston	all	NA	-1	-0.0326530612244864	0.492370152591396
8	Boston	all	NA	-1	-0.0442176870748255	0.161564797839303
4	San Diego	all	NA	0	0	1
6	San Diego	all	NA	-1	-0.122448979591843	0.386256349644899
8	San Diego	all	NA	-1	-0.164965986394558	0.0967785663343696
4	DC	all	NA	-1	-0.0428571428571429	0.741801110252839
6	DC	all	NA	-1	-0.0775510204081669	0.176491313013338
8	DC	all	NA	-1	-0.13775510204081	0.00623396060536359
