width	place	age	end.date	sign	slope	pval
4	state	all	NA	1	68.5388211866539	1.63247700247044e-06
6	state	all	NA	1	67.7007696920412	3.01514634511133e-09
8	state	all	NA	1	66.14846957387	3.93113987210569e-11
10	state	all	NA	1	63.8819208322625	2.28871841904137e-12
12	state	all	NA	1	60.9011234673379	4.6771043334102e-13
4	King	all	NA	1	79.3502716643615	6.17655297408856e-08
6	King	all	NA	1	79.2786116356192	1.83951601307674e-13
8	King	all	NA	1	79.0543565454579	1.23664033502447e-16
10	King	all	NA	1	78.677506394019	2.26942337651197e-19
12	King	all	NA	1	78.1480611814453	1.0542974653673e-21
4	Snohomish	all	NA	1	19.7502515798074	1.7207714858979e-07
6	Snohomish	all	NA	1	19.6879714729356	1.2251733934269e-11
8	Snohomish	all	NA	1	19.5803448569498	6.55706993465638e-15
10	Snohomish	all	NA	1	19.4273717318851	1.39372464283252e-17
12	Snohomish	all	NA	1	19.229052097777	8.55482130028949e-20
4	Pierce	all	NA	-1	-7.18487890939806	4.1107744254358e-06
6	Pierce	all	NA	-1	-7.30812531661138	1.01177109381572e-08
8	Pierce	all	NA	-1	-7.52842606715124	1.48281784731282e-10
10	Pierce	all	NA	-1	-7.84578116103055	6.61021229990569e-12
12	Pierce	all	NA	-1	-8.26019059826293	6.09476349098423e-13
4	Ann Arbor	all	NA	1	21.9555121308833	1.23230188237782e-07
6	Ann Arbor	all	NA	1	21.887047047246	1.21034940016048e-11
8	Ann Arbor	all	NA	1	21.7628870249092	8.14529465780006e-15
10	Ann Arbor	all	NA	1	21.5830320639116	2.14892322352042e-17
12	Ann Arbor	all	NA	1	21.3474821642928	1.63526826493565e-19
4	Boston	all	NA	1	51.44317441442	6.02124736021564e-08
6	Boston	all	NA	1	51.4073941415642	7.99392851515282e-14
8	Boston	all	NA	1	51.2848776717541	4.44501469107399e-17
10	Boston	all	NA	1	51.0756250050816	6.43979400363334e-20
12	Boston	all	NA	1	50.779636141639	2.31017451252711e-22
4	San Diego	all	NA	-1	-14.6558756525372	2.299695165144e-05
6	San Diego	all	NA	-1	-15.2134755973398	2.22484195732221e-07
8	San Diego	all	NA	-1	-16.1905232774779	1.13608187535631e-08
10	San Diego	all	NA	-1	-17.587018692978	1.43704502692359e-09
12	San Diego	all	NA	-1	-19.4029618438695	2.98062022729801e-10
4	DC	all	NA	1	46.4108977419259	1.05388514805794e-06
6	DC	all	NA	1	46.4862396613394	1.03888918740598e-12
8	DC	all	NA	1	46.4722976301086	3.19498318578536e-19
10	DC	all	NA	1	46.3690716483161	5.490026167388e-22
12	DC	all	NA	1	46.1765617160461	5.7517396679393e-24
4	USA	all	NA	1	4233.13406643378	3.30663829859524e-06
6	USA	all	NA	1	4183.71119327356	2.30057411326253e-09
8	USA	all	NA	1	4103.3608435229	1.35379846818806e-11
10	USA	all	NA	1	3992.08301718932	3.52877357692293e-13
12	USA	all	NA	1	3849.8777142802	3.05761359537673e-14
