width	place	age	end.date	sign	slope	pval
7	state	all	NA	-1	-5.67857142857052	0.642965867241724
14	state	all	NA	1	0.602197802196144	0.860172823931909
21	state	all	NA	1	0.594805194805253	0.710120056297666
28	state	all	NA	1	0.667487684728836	0.481564276067858
35	state	all	NA	1	0.868627450980277	0.157446561443127
42	state	all	NA	1	0.684223320638576	0.114031149233566
7	King	all	NA	-1	-0.857142857142704	0.673428435537574
14	King	all	NA	-1	-0.301098901099577	0.657144919821005
21	King	all	NA	1	0.142857142857135	0.645698071290439
28	King	all	NA	1	0.193760262725778	0.280450316832744
35	King	all	NA	1	0.211764705882327	0.0680674040208119
42	King	all	NA	1	0.166842233206398	0.0412504229639491
7	Snohomish	all	NA	-1	-1.10714285714273	0.474604601630658
14	Snohomish	all	NA	1	0.0747252747250617	0.865118114256534
21	Snohomish	all	NA	1	0.114285714285783	0.575600446570219
28	Snohomish	all	NA	1	0.134373289545708	0.250809493864005
35	Snohomish	all	NA	1	0.153221288515387	0.0433280380705412
42	Snohomish	all	NA	1	0.106069200226896	0.0485389701180384
7	Pierce	all	NA	-1	-0.928571428571287	0.656479093261753
14	Pierce	all	NA	1	0.182417582417372	0.760163254108336
21	Pierce	all	NA	1	0.16883116883115	0.546890308653698
28	Pierce	all	NA	1	0.154077723043229	0.344001949677912
35	Pierce	all	NA	1	0.187114845938356	0.0759792992786083
42	Pierce	all	NA	1	0.149420630418943	0.0430953656045136
7	Ann Arbor	all	NA	-1	-0.214285714285638	0.718425365603179
14	Ann Arbor	all	NA	-1	-0.248351648351996	0.452424332886025
21	Ann Arbor	all	NA	-1	-0.107792207792183	0.503613642062723
28	Ann Arbor	all	NA	-1	-0.0651340996167921	0.508311952339385
35	Ann Arbor	all	NA	-1	-0.0184873949580159	0.784839398853024
42	Ann Arbor	all	NA	1	0.0175026334981011	0.715868346802275
7	Boston	all	NA	-1	-2.24999999999962	0.0111061580660061
14	Boston	all	NA	-1	-0.384615384616057	0.38627930685829
21	Boston	all	NA	-1	-0.0818181818181921	0.705082505341852
28	Boston	all	NA	1	0.0695128626162496	0.592257955226043
35	Boston	all	NA	1	0.116246498599443	0.172428542059036
42	Boston	all	NA	1	0.113442994895071	0.0597058514516191
7	San Diego	all	NA	-1	-2.07142857142791	0.280130265660917
14	San Diego	all	NA	1	0.696703296703693	0.214332749437997
21	San Diego	all	NA	1	0.233766233766288	0.420820777754166
28	San Diego	all	NA	1	0.218938149972627	0.202362666234819
35	San Diego	all	NA	1	0.175910364145657	0.122886833795951
42	San Diego	all	NA	1	0.0878372903330468	0.288672971477747
7	DC	all	NA	-1	-1.07142857142854	0.0136162518572268
14	DC	all	NA	-1	-0.0945054945056898	0.573727495937424
21	DC	all	NA	-1	-0.17532467532468	0.0917950281962681
28	DC	all	NA	-1	-0.0675971538040022	0.297852983545135
35	DC	all	NA	1	0.0193277310924344	0.662071825571858
42	DC	all	NA	1	0.0516975933878946	0.102812524727027
7	USA	all	NA	-1	-322.714285714197	0.249696380186392
14	USA	all	NA	-1	-27.5406593407578	0.762122945255157
21	USA	all	NA	1	2.86363636363353	0.947034876590451
28	USA	all	NA	1	15.1568144499222	0.554337952679149
35	USA	all	NA	1	22.5551820728248	0.206706237374098
42	USA	all	NA	1	19.7187424033721	0.152621349877285
