width	place	age	end.date	sign	slope	pval
7	state	all	NA	-1	-6.35714285714307	0.555378871731837
14	state	all	NA	-1	-1.86593406593479	0.606896305329033
21	state	all	NA	1	0.101298701299485	0.955029576848033
28	state	all	NA	1	0.363984674329487	0.73033914930396
35	state	all	NA	1	0.514285714285881	0.465151612689061
42	state	all	NA	1	0.715339113523996	0.14851414124835
7	King	all	NA	-1	-0.749999999999372	0.674707651217919
14	King	all	NA	-1	-0.274725274725397	0.646708245130136
21	King	all	NA	-1	-0.202597402597151	0.548047689758119
28	King	all	NA	1	0.0448823207443311	0.819112731236738
35	King	all	NA	1	0.114845938375369	0.37307399189143
42	King	all	NA	1	0.151446398184906	0.094645843663491
7	Snohomish	all	NA	-1	-1.10714285714376	0.246492612550428
14	Snohomish	all	NA	-1	-0.549450549450693	0.181774163605144
21	Snohomish	all	NA	-1	-0.118181818181673	0.579300004869589
28	Snohomish	all	NA	-1	-0.00711548987407851	0.954901297343536
35	Snohomish	all	NA	1	0.0492997198879743	0.548958545900601
42	Snohomish	all	NA	1	0.0881614131755906	0.128556723113985
7	Pierce	all	NA	-1	-2.10714285714239	0.154661804051357
14	Pierce	all	NA	-1	-0.542857142857404	0.350410316705087
21	Pierce	all	NA	-1	-0.0454545454543933	0.879658784110598
28	Pierce	all	NA	1	0.0503557744936178	0.777086940048545
35	Pierce	all	NA	1	0.0848739495798556	0.468944856243285
42	Pierce	all	NA	1	0.131026659103797	0.112497822807651
7	Ann Arbor	all	NA	-1	-0.285714285714067	0.244419000965586
14	Ann Arbor	all	NA	-1	-0.153846153846289	0.284458534283977
21	Ann Arbor	all	NA	-1	-0.197402597402462	0.174837346627851
28	Ann Arbor	all	NA	-1	-0.12260536398466	0.178386307390298
35	Ann Arbor	all	NA	-1	-0.0865546218487711	0.173987206173571
42	Ann Arbor	all	NA	-1	-0.0454582286686733	0.339320161711489
7	Boston	all	NA	-1	-2.28571428571139	0.0156133432698908
14	Boston	all	NA	-1	-0.619780219780468	0.0881201530620879
21	Boston	all	NA	-1	-0.228571428571185	0.308152356996549
28	Boston	all	NA	-1	-0.0695128626163323	0.610324220610673
35	Boston	all	NA	1	0.0372549019608312	0.687098206347367
42	Boston	all	NA	1	0.0829754476946785	0.207906703015326
7	San Diego	all	NA	-1	-4.71428571427829	0.022695650989038
14	San Diego	all	NA	-1	-0.71208791208879	0.328814720101873
21	San Diego	all	NA	1	0.402597402597317	0.26906816074568
28	San Diego	all	NA	1	0.271483305966175	0.218349809314241
35	San Diego	all	NA	1	0.26526610644256	0.0693952496878077
42	San Diego	all	NA	1	0.227291143343323	0.0289013110825149
7	DC	all	NA	-1	-0.357142857141548	0.443817837482528
14	DC	all	NA	-1	-0.298901098900965	0.0616015406457259
21	DC	all	NA	-1	-0.0909090909090088	0.287284857015937
28	DC	all	NA	-1	-0.136836343732897	0.0315558868142248
35	DC	all	NA	-1	-0.0736694677871399	0.0980081712465025
42	DC	all	NA	-1	-0.00858925532776855	0.793206115228198
7	USA	all	NA	-1	-397.107142856222	0.156979163883396
14	USA	all	NA	-1	-82.3956043956928	0.38134615600218
21	USA	all	NA	-1	-9.86623376619832	0.840578488608088
28	USA	all	NA	1	7.41680350300809	0.79839952238756
35	USA	all	NA	1	16.3980392156831	0.398040390532483
42	USA	all	NA	1	22.8140345190814	0.113305110011417
