width	place	age	end.date	sign	slope	pval
4	state	all	NA	-1	-10.6995242525958	9.01531415546192e-06
6	state	all	NA	-1	-10.8111320520343	1.21516657841611e-09
8	state	all	NA	-1	-10.9347890568309	5.97001907043698e-13
10	state	all	NA	-1	-11.0704952670879	7.28812596077605e-16
12	state	all	NA	-1	-11.2182506827308	1.80349661526398e-18
4	Island	all	NA	1	0.314363404632861	3.93204494615043e-05
6	Island	all	NA	1	0.306594594762897	4.46205971183793e-08
8	Island	all	NA	1	0.296972303221947	3.06243830239339e-10
10	Island	all	NA	1	0.285496530012932	8.19505035374999e-12
12	Island	all	NA	1	0.272167275133774	6.92137580076949e-13
4	King	all	NA	1	0.441188018745788	0.00214874593773475
6	King	all	NA	1	0.372519781852332	0.000119669017604267
8	King	all	NA	1	0.299174341443808	5.49395888620616e-05
10	King	all	NA	1	0.221151697523756	0.00019584578271966
12	King	all	NA	1	0.138451850089675	0.0051585497979576
4	Ann Arbor	all	NA	-1	-4.70950301302727	1.12237924788475e-07
6	Ann Arbor	all	NA	-1	-4.68665738882327	8.35861468395213e-11
8	Ann Arbor	all	NA	-1	-4.63746747802247	3.32758194726396e-13
10	Ann Arbor	all	NA	-1	-4.56193328066928	4.93580069554867e-15
12	Ann Arbor	all	NA	-1	-4.46005479673189	2.18670862513653e-16
4	Boston	all	NA	-1	-8.78207027961221	3.31766633645876e-08
6	Boston	all	NA	-1	-8.76345483220425	3.32746696260475e-12
8	Boston	all	NA	-1	-8.72003464816222	3.56169956514294e-15
10	Boston	all	NA	-1	-8.65180972756903	1.28331302589352e-17
12	Boston	all	NA	-1	-8.55878007036526	1.27259275454792e-19
4	San Diego	all	NA	-1	-77.057068688037	1.54921680674492e-07
6	San Diego	all	NA	-1	-77.0734951855806	6.26687316098852e-15
8	San Diego	all	NA	-1	-76.9964537758722	3.50760517831365e-19
10	San Diego	all	NA	-1	-76.8259444596382	4.39910684432338e-22
12	San Diego	all	NA	-1	-76.5619672363571	1.03282310406782e-24
4	DC	all	NA	-1	-3.10275981807069	4.87828364923751e-08
6	DC	all	NA	-1	-3.09315103685099	1.42075657943116e-11
8	DC	all	NA	-1	-3.07191960157312	2.54629762535945e-14
10	DC	all	NA	-1	-3.03906551226634	1.6207087873453e-16
12	DC	all	NA	-1	-2.99458876890965	2.93485754669036e-18
4	USA	all	NA	-1	-3183.56167267582	4.56249382556225e-07
6	USA	all	NA	-1	-3186.91336697057	1.87639757481889e-13
8	USA	all	NA	-1	-3186.17831776872	2.8310076237004e-20
10	USA	all	NA	-1	-3181.35652510036	2.47299905124389e-23
12	USA	all	NA	-1	-3172.44798894392	1.11146405959473e-25
