width	place	age	end.date	sign	slope	pval
4	state	all	NA	-1	-26.3131040532229	0.000168870669916991
6	state	all	NA	-1	-24.6236343929177	2.47633436260175e-06
8	state	all	NA	-1	-22.1939354678631	4.15424161254444e-07
4	King	all	NA	-1	-26.4691864317488	4.73679776661407e-06
6	King	all	NA	-1	-26.1912182764969	1.41756452192898e-09
8	King	all	NA	-1	-25.7967382185686	3.1892310674671e-12
4	Snohomish	all	NA	-1	-3.36049078781571	0.000103750068974845
6	Snohomish	all	NA	-1	-3.21842036373127	4.13335774800157e-07
8	Snohomish	all	NA	-1	-3.03544383114204	1.23617807441409e-08
4	Pierce	all	NA	-1	-7.58452877595182	2.41496532976171e-06
6	Pierce	all	NA	-1	-7.52870602804016	7.0068295970033e-10
8	Pierce	all	NA	-1	-7.36783413260141	2.55300190301472e-11
4	Ann Arbor	all	NA	1	5.40862327309528	4.76625438974962e-08
6	Ann Arbor	all	NA	1	5.41861146469939	1.44445894266886e-12
8	Ann Arbor	all	NA	1	5.4364641848888	2.96773817521143e-16
4	Boston	all	NA	1	5.99954036836903	4.67532456245784e-05
6	Boston	all	NA	1	6.13863382340365	2.81534644360071e-08
8	Boston	all	NA	1	6.28898425130799	5.42849568972235e-11
4	San Diego	all	NA	-1	-118.414807049305	1.01709906193496e-06
6	San Diego	all	NA	-1	-118.673528192308	2.60679361392109e-12
8	San Diego	all	NA	-1	-118.790643838589	1.79497700106737e-18
4	DC	all	NA	1	11.635480910903	2.51137374734297e-05
6	DC	all	NA	1	11.8161070878863	5.82420209923638e-09
8	DC	all	NA	1	11.99221346804	3.21522279975664e-12
