width	place	age	end.date	sign	slope	pval
4	state	all	NA	1	5.5147187509164	2.34866837983229e-07
6	state	all	NA	1	5.5220205920505	3.29215596769393e-13
8	state	all	NA	1	5.52794749201074	6.20715496583651e-19
4	King	all	NA	1	0.229589908353919	1.00720953928389e-05
6	King	all	NA	1	0.233006835583139	5.14082801119948e-09
8	King	all	NA	1	0.237775635757291	1.63248841926275e-11
4	Snohomish	all	NA	1	0.130206197690933	2.34889705709653e-06
6	Snohomish	all	NA	1	0.130893592041852	8.13388668561025e-11
8	Snohomish	all	NA	1	0.131648750104583	1.02381420333502e-14
4	Pierce	all	NA	1	0.199947727415665	1.10792749107906e-05
6	Pierce	all	NA	1	0.202453855164539	2.52934474132264e-09
8	Pierce	all	NA	1	0.205444101304553	2.57765629509762e-12
4	Ann Arbor	all	NA	1	0.0826533875460496	1.65260028985336e-05
6	Ann Arbor	all	NA	1	0.0813583493145653	6.93255924766001e-09
8	Ann Arbor	all	NA	1	0.079782782981119	1.58858279168633e-11
4	Boston	all	NA	1	0.0719832250117037	3.09871145860245e-07
6	Boston	all	NA	1	0.0719387208385221	2.10761567098449e-13
8	Boston	all	NA	1	0.0716953998811518	3.82004677900991e-16
4	San Diego	all	NA	1	0.845894040928485	7.79501654724787e-06
6	San Diego	all	NA	1	0.852625938502798	4.16402487691371e-10
8	San Diego	all	NA	1	0.858476212866492	3.69640550916868e-14
4	DC	all	NA	1	0.0426502870910284	3.51326840088297e-05
6	DC	all	NA	1	0.0418083947607251	1.75497610930918e-08
8	DC	all	NA	1	0.0409154988938609	3.19190572383312e-11
