DateTime,Date,Score,Rank,M All,M 100,M 40,M 20,Total
08/05/2018 3:37 PM,08/05/2018,"118,370","2,398","118,370","118,370","118,370","118,370",1
,08/05/2018,"113,350","6,421","115,860","115,860","115,860","115,860",2
,08/05/2018,"113,620","6,293","113,620","113,620","113,620","113,620",3
,08/05/2018,"119,180","1,493","115,995","115,995","115,995","115,995",4
08/06/2018 12:01 PM,08/06/2018,"121,260",93,"118,370","118,370","118,370","118,370",5
,08/06/2018,"104,750","8,335","115,995","115,995","115,995","115,995",6
,08/06/2018,"113,470","6,374","113,620","113,620","113,620","113,620",7
,08/06/2018,"116,850","4,114","115,235","115,235","115,235","115,235",8
,08/06/2018,"117,600","3,314","116,850","116,850","116,850","116,850",9
08/06/2018 7:02 PM,08/06/2018,"119,770",887,"117,225","117,225","117,225","117,225",10
,08/06/2018,"99,020","8,902","116,850","116,850","116,850","116,850",11
,08/06/2018,"73,190","9,729","115,235","115,235","115,235","115,235",12
,08/06/2018,"118,090","2,749","116,850","116,850","116,850","116,850",13
,08/06/2018,"85,850","9,487","115,235","115,235","115,235","115,235",14
,08/06/2018,"120,020",677,"116,850","116,850","116,850","116,850",15
08/07/2018 11:38 AM,08/07/2018,"119,750",903,"117,225","117,225","117,225","117,225",16
,08/07/2018,"119,700",954,"117,600","117,600","117,600","117,600",17
,08/07/2018,"117,230","3,718","117,415","117,415","117,415","117,415",18
,08/07/2018,"98,500","8,946","117,230","117,230","117,230","117,230",19
,08/07/2018,"114,270","5,976","117,040","117,040","117,040","117,040",20
,08/07/2018,"118,270","2,528","117,230","117,230","117,040","117,040",21
08/07/2018 7:03 PM,08/07/2018,"115,650","5,125","117,040","117,040","117,040","117,040",22
,08/07/2018,"73,350","9,726","116,850","116,850","117,040","117,040",23
08/08/2018 10:07 AM,08/08/2018,"101,270","8,717","116,250","116,250","116,250","116,250",24
,08/08/2018,"116,490","4,426","116,490","116,490","116,070","116,070",25
,08/08/2018,"116,570","4,346","116,530","116,530","116,530","116,530",26
,08/08/2018,"114,200","6,009","116,490","116,490","116,530","116,530",27
,08/08/2018,"117,020","3,922","116,530","116,530","116,530","116,530",28
,08/08/2018,"118,770","1,960","116,570","116,570","116,530","116,530",29
08/08/2018 1:22 PM,08/08/2018,"118,500","2,252","116,710","116,710","116,530","116,530",30
,08/08/2018,"117,750","3,150","116,850","116,850","116,795","116,795",31
,08/08/2018,"117,960","2,896","116,935","116,935","117,125","117,125",32
,08/08/2018,"119,360","1,289","117,020","117,020","117,125","117,125",33
,08/08/2018,"111,040","7,182","116,935","116,935","117,125","117,125",34
,08/08/2018,"104,940","8,298","116,850","116,850","116,795","116,795",35
,08/08/2018,"119,240","1,422","116,935","116,935","116,795","116,795",36
,08/08/2018,"117,180","3,771","117,020","117,020","116,795","116,795",37
08/08/2018 6:45 PM,08/08/2018,"121,120",119,"117,100","117,100","116,795","116,795",38
,08/08/2018,"119,080","1,632","117,180","117,180","117,100","117,100",39
,08/08/2018,"119,340","1,323","117,205","117,205","117,205","117,465",40
,08/08/2018,"118,230","2,588","117,230","117,230","117,205","117,465",41
,08/08/2018,"105,580","8,222","117,205","117,205","117,205","117,465",42
,08/08/2018,"81,740","9,591","117,180","117,180","117,205","117,465",43
,08/08/2018,"69,900","9,774","117,100","117,100","117,100","117,465",44
,08/08/2018,"117,110","3,837","117,110","117,110","117,065","117,465",45
,08/08/2018,"120,250",498,"117,145","117,145","117,145","117,855",46
08/09/2018 12:39 PM,08/09/2018,"118,710","2,035","117,180","117,180","117,205","118,095",47
,08/09/2018,"118,170","2,659","117,205","117,205","117,415","118,200",48
,08/09/2018,"112,530","6,744","117,180","117,180","117,205","118,065",49
,08/09/2018,"87,920","9,429","117,145","117,145","117,145","117,855",50
08/09/2018 1:40 PM,08/09/2018,"120,680",268,"117,180","117,180","117,205","118,065",51
,08/09/2018,"112,410","6,786","117,145","117,145","117,205","117,675",52
,08/09/2018,"120,180",558,"117,180","117,180","117,205","117,675",53
,08/09/2018,"115,160","5,459","117,145","117,145","117,205","117,675",54
,08/09/2018,"117,340","3,603","117,180","117,180","117,205","117,755",55
,08/09/2018,"117,880","2,997","117,205","117,205","117,205","117,610",56
,08/09/2018,"99,740","8,832","117,180","117,180","117,145","117,610",57
,08/09/2018,"116,440","4,483","117,145","117,145","117,065","117,225",58
,08/09/2018,"102,710","8,566","117,110","117,110","117,065","116,775",59
,08/09/2018,"116,840","4,127","117,065","117,065","117,065","116,640",60
,08/09/2018,"106,840","8,031","117,020","117,020","116,930","115,800",61
08/09/2018 8:00 PM,08/09/2018,"109,050","7,645","116,935","116,935","116,930","115,800",62
,08/09/2018,"119,210","1,461","117,020","117,020","117,065","116,640",63
,08/09/2018,"116,120","4,765","116,935","116,935","117,065","116,640",64
,08/09/2018,"118,680","2,063","117,020","117,020","117,145","116,640",65
,08/09/2018,"120,560",315,"117,065","117,065","117,260","116,640",66
,08/09/2018,"119,240","1,422","117,110","117,110","117,545","116,640",67
,08/09/2018,"118,270","2,534","117,145","117,145","117,815","116,640",68
,08/09/2018,"118,210","2,618","117,180","117,180","117,815","117,090",69
08/10/2018 1:53 PM,08/10/2018,"116,770","4,199","117,145","117,145","117,545","117,090",70
,08/10/2018,"120,640",276,"117,180","117,180","117,610","117,090",71
,08/10/2018,"117,730","3,188","117,205","117,205","117,535","117,535",72
,08/10/2018,"115,590","5,177","117,180","117,180","117,260","117,090",73
,08/10/2018,"118,580","2,175","117,205","117,205","117,535","117,535",74
,08/10/2018,"110,260","7,395","117,180","117,180","117,535","117,285",75
