Score,Rank,Pct,Max,Mean,Median,Total
"113,080",1,0.00,"113,080","113,080","113,080",1
"114,530",1,0.50,"114,530","113,805","113,080",2
"106,760",3,0.00,"114,530","111,457","109,920",3
"81,850",4,0.00,"114,530","104,055","106,760",4
"114,260",2,0.60,"114,530","106,096","109,920",5
"112,450",4,0.33,"114,530","107,155","112,450",6
"98,220",6,0.14,"114,530","105,879","109,605",7
"60,010",8,0.00,"114,530","100,145","106,760",8
"107,890",5,0.44,"114,530","101,006","107,325",9
"90,080",8,0.20,"114,530","99,913","106,760",10
"115,240",1,0.91,"115,240","101,306","107,325",11
"102,380",8,0.33,"115,240","101,396","106,760",12
"99,150",9,0.31,"115,240","101,223","104,570",13
"91,340",11,0.21,"115,240","100,517","102,380",14
"111,080",6,0.60,"115,240","101,221","104,570",15
"107,640",8,0.50,"115,240","101,623","106,760",16
"110,000",7,0.59,"115,240","102,115","107,200",17
"112,410",6,0.67,"115,240","102,687","107,640",18
"119,810",1,0.95,"119,810","103,588","107,765",19
"107,930",10,0.50,"119,810","103,806","107,890",20
"110,820",9,0.57,"119,810","104,140","107,910",21
"114,970",3,0.86,"119,810","104,632","107,930",22
"110,420",11,0.52,"119,810","104,883","108,965",23
"107,660",15,0.38,"119,810","104,999","107,930",24
"108,500",13,0.48,"119,810","105,139","108,215",25
"117,910",2,0.92,"119,810","105,630","108,500",26
"100,590",21,0.22,"119,810","105,444","108,215",27
"115,140",4,0.86,"119,810","105,790","108,500",28
"82,540",27,0.07,"119,810","104,988","108,215",29
"112,520",9,0.70,"119,810","105,239","108,500",30
"73,470",30,0.03,"119,810","104,215","108,215",31
"108,420",17,0.47,"119,810","104,346","108,420",32
"112,560",9,0.73,"119,810","104,595","108,460",33
"87,980",30,0.12,"119,810","104,106","108,420",34
"109,140",17,0.51,"119,810","104,250","108,460",35
"108,850",18,0.50,"119,810","104,378","108,500",36
"107,450",25,0.32,"119,810","104,461","108,460",37
"101,280",28,0.26,"119,810","104,377","108,420",38
"110,510",15,0.62,"119,810","104,534","108,460",39
"90,890",34,0.15,"119,810","104,193","108,420",40
"92,910",33,0.20,"119,810","103,918","108,175",41
"73,200",41,0.02,"119,810","103,187","107,930",42
"103,470",28,0.35,"119,810","103,193","107,910",43
"3,940",44,0.00,"119,810","100,938","107,890",44
"108,950",19,0.58,"119,810","101,116","107,910",45
"106,160",29,0.37,"119,810","101,225","107,890",46
"104,160",30,0.36,"119,810","101,288","107,775",47
"115,820",3,0.94,"119,810","101,590","107,890",48
"57,780",48,0.02,"119,810","100,696","107,775",49
"110,510",16,0.68,"119,810","100,893","107,890",50
"110,610",16,0.69,"119,810","101,083","107,910",51
"98,420",39,0.25,"119,810","101,032","107,890",52
"115,690",4,0.92,"119,810","101,308","107,910",53
"114,820",8,0.85,"119,810","101,559","107,930",54
"96,470",43,0.22,"119,810","101,466","107,910",55
"100,090",40,0.29,"119,810","101,442","107,890",56
"112,890",12,0.79,"119,810","101,642","107,910",57
"113,350",11,0.81,"119,810","101,844","107,930",58
"113,520",11,0.81,"119,810","102,042","108,175",59
"107,270",36,0.40,"119,810","102,129","107,930",60
"115,460",5,0.92,"119,810","102,348","108,175",61
"115,190",7,0.89,"119,810","102,555","108,420",62
"111,430",21,0.67,"119,810","102,696","108,460",63
"111,640",21,0.67,"119,810","102,836","108,500",64
"112,330",21,0.68,"119,810","102,982","108,675",65
"116,120",3,0.95,"119,810","103,181","108,850",66
"116,810",3,0.96,"119,810","103,384","108,900",67
"117,120",3,0.96,"119,810","103,586","108,950",68
"118,850",2,0.97,"119,810","103,807","109,045",69
"114,500",16,0.77,"119,810","103,960","109,140",70
"110,680",31,0.56,"119,810","104,055","109,570",71
"101,660",53,0.26,"119,810","104,022","109,140",72
"99,670",57,0.22,"119,810","103,962","109,045",73
"111,330",29,0.61,"119,810","104,061","109,140",74
"114,020",18,0.76,"119,810","104,194","109,570",75
"84,100",69,0.09,"119,810","103,930","109,140",76
"113,030",22,0.71,"119,810","104,048","109,570",77
"67,310",75,0.04,"119,810","103,577","109,140",78
"110,900",33,0.58,"119,810","103,670","109,570",79
0,80,0.00,"119,810","102,374","109,140",80
"109,950",41,0.49,"119,810","102,467","109,545",81
"111,030",33,0.60,"119,810","102,572","109,950",82
"110,220",41,0.51,"119,810","102,664","109,975",83
"111,630",30,0.64,"119,810","102,771","110,000",84
"107,600",54,0.36,"119,810","102,828","109,975",85
"115,160",12,0.86,"119,810","102,971","110,000",86
"99,450",68,0.22,"119,810","102,930","109,975",87
"112,220",30,0.66,"119,810","103,036","110,000",88
"99,350",70,0.21,"119,810","102,995","109,975",89
"85,040",80,0.11,"119,810","102,795","109,950",90
"97,520",74,0.19,"119,810","102,737","109,545",91
"100,150",67,0.27,"119,810","102,709","109,140",92
"103,960",62,0.33,"119,810","102,722","109,045",93
"6,190",92,0.02,"119,810","101,696","108,950",94
"112,250",30,0.68,"119,810","101,807","109,045",95
"110,730",40,0.58,"119,810","101,900","109,140",96
"100,380",70,0.28,"119,810","101,884","109,045",97
"105,140",63,0.36,"119,810","101,917","108,950",98
"113,960",20,0.80,"119,810","102,039","109,045",99
"103,190",68,0.32,"119,810","102,050","108,950",100
"102,240",70,0.31,"119,810","102,052","108,900",101
"114,330",18,0.82,"119,810","102,173","108,950",102
"98,890",82,0.20,"119,810","102,141","108,900",103
"107,910",57,0.45,"119,810","102,196","108,850",104
"107,560",62,0.41,"119,810","102,247","108,675",105
"87,160",94,0.11,"119,810","102,105","108,500",106
"109,120",52,0.51,"119,810","102,170","108,675",107
"110,700",43,0.60,"119,810","102,249","108,850",108
"86,240",97,0.11,"119,810","102,103","108,675",109
"112,890",26,0.76,"119,810","102,201","108,850",110
"98,590",88,0.21,"119,810","102,168","108,675",111
"111,850",35,0.69,"119,810","102,255","108,850",112
"115,100",14,0.88,"119,810","102,368","108,900",113
"108,460",60,0.47,"119,810","102,422","108,850",114
"108,060",62,0.46,"119,810","102,471","108,675",115
"113,850",23,0.80,"119,810","102,569","108,850",116
"112,480",32,0.73,"119,810","102,654","108,900",117
"110,040",55,0.53,"119,810","102,716","108,950",118
"107,140",75,0.37,"119,810","102,753","108,900",119
"100,620",87,0.28,"119,810","102,736","108,850",120
"14,750",118,0.02,"119,810","102,008","108,675",121
"108,200",65,0.47,"119,810","102,059","108,500",122
"99,500",94,0.24,"119,810","102,038","108,480",123
"116,840",5,0.96,"119,810","102,158","108,500",124
"113,320",27,0.78,"119,810","102,247","108,675",125
"86,030",113,0.10,"119,810","102,118","108,500",126
"65,400",121,0.05,"119,810","101,829","108,480",127
"96,340",106,0.17,"119,810","101,786","108,460",128
"110,800",49,0.62,"119,810","101,856","108,480",129
"112,350",37,0.72,"119,810","101,937","108,500",130
"56,180",127,0.03,"119,810","101,588","108,480",131
"113,830",25,0.81,"119,810","101,680","108,500",132
"53,050",129,0.03,"119,810","101,315","108,480",133
"84,350",119,0.11,"119,810","101,188","108,460",134
"100,460",95,0.30,"119,810","101,183","108,440",135
"105,340",84,0.38,"119,810","101,213","108,420",136
"117,490",4,0.97,"119,810","101,332","108,440",137
"113,870",25,0.82,"119,810","101,423","108,460",138
