width	place	age	end.date	sign	slope	pval
4	state	all	NA	-1	-85.8	0.182984322589622
6	state	all	NA	-1	-10.5632653061273	0.732213451041989
8	state	all	NA	1	18.7840136054423	0.342853472811124
10	state	all	NA	1	40.2900432900433	0.0237129946452126
12	state	all	NA	1	24.7672327672375	0.0549606358843296
4	King	all	NA	-1	-16.4	0.279436724142348
6	King	all	NA	-1	-3.62040816326649	0.572141587514006
8	King	all	NA	1	7.42687074829922	0.187440129359515
10	King	all	NA	1	11.761038961039	0.0118327142693465
12	King	all	NA	1	5.59140859141012	0.129628313823151
4	Snohomish	all	NA	-1	-6.77142857142857	0.226888419204101
6	Snohomish	all	NA	-1	-2.11428571428626	0.377528790795933
8	Snohomish	all	NA	1	1.85714285714283	0.356137636724918
10	Snohomish	all	NA	1	4.51428571428572	0.0204853079549671
12	Snohomish	all	NA	1	3.05144855144921	0.0363760953711852
4	Pierce	all	NA	-1	-6.37142857142857	0.250330166286037
6	Pierce	all	NA	1	0.873469387754611	0.783527530978694
8	Pierce	all	NA	-1	-0.37414965986333	0.935600528362077
10	Pierce	all	NA	1	3.00779220779221	0.378840493678224
12	Pierce	all	NA	1	3.28371628371655	0.165713778588278
4	Ann Arbor	all	NA	-1	-2.2	0.729724718296407
6	Ann Arbor	all	NA	1	3.03265306122484	0.35392084542177
8	Ann Arbor	all	NA	-1	-0.241496598639414	0.914720038542975
10	Ann Arbor	all	NA	1	0.286580086580087	0.83757688791094
12	Ann Arbor	all	NA	1	0.335164835164841	0.723328957652715
4	Boston	all	NA	1	3.54285714285715	0.660044238242832
6	Boston	all	NA	1	15.2285714285727	0.0287818982248742
8	Boston	all	NA	1	12.6292517006792	0.0068826008180504
10	Boston	all	NA	1	2.3255411255411	0.680156512282032
12	Boston	all	NA	1	1.75024975025002	0.646403368951301
4	San Diego	all	NA	-1	-58.0714285714286	0.0882224387155594
6	San Diego	all	NA	1	55.0938775510194	0.218125032335204
8	San Diego	all	NA	1	77.2874149659823	0.0119896460361254
10	San Diego	all	NA	1	73.6095238095237	0.000618388721508121
12	San Diego	all	NA	1	62.6718281718361	0.000102580331519245
4	DC	all	NA	-1	-16.1428571428571	0.550580528496798
6	DC	all	NA	-1	-5.23265306122486	0.622495176164656
8	DC	all	NA	-1	-0.743197278911529	0.897689960519307
10	DC	all	NA	-1	-0.961904761904763	0.792337710419653
12	DC	all	NA	1	1.12287712287745	0.694295847504772
4	USA	all	NA	-1	-3430.68571428572	0.322210652708137
6	USA	all	NA	1	3046.93877550996	0.312759301628811
8	USA	all	NA	1	3824.22108843522	0.0365379688277405
10	USA	all	NA	1	3383.26839826839	0.00546804160893974
12	USA	all	NA	1	2938.38061938096	0.000906240042729195
