width	place	age	end.date	sign	slope	pval
4	state	all	NA	-1	-124.7	0.101124602171214
6	state	all	NA	-1	-34.9061224489901	0.367294840616791
8	state	all	NA	-1	-44.2721088435415	0.0725479737800044
10	state	all	NA	-1	-78.3584415584415	0.00249626711571967
12	state	all	NA	-1	-105.868631368649	0.00564736994120299
4	King	all	NA	-1	-39.2142857142857	0.134807593198856
6	King	all	NA	-1	-9.68979591837047	0.447114375209633
8	King	all	NA	-1	-13.5561224489808	0.0932604834947185
10	King	all	NA	-1	-25.8025974025974	0.00348552019974855
12	King	all	NA	-1	-35.1088911088964	0.00356351900087409
4	Snohomish	all	NA	-1	-10.8	0.11013240780789
6	Snohomish	all	NA	-1	-2.95510204081744	0.438034591336844
8	Snohomish	all	NA	-1	-4.8197278911572	0.201616931824893
10	Snohomish	all	NA	-1	-8.9047619047619	0.00824606741168423
12	Snohomish	all	NA	-1	-10.7432567432584	0.0029265566370964
4	Pierce	all	NA	-1	-12.3	0.259499688287277
6	Pierce	all	NA	-1	-3.51020408163404	0.508107787406289
8	Pierce	all	NA	-1	-1.9829931972792	0.481573796656153
10	Pierce	all	NA	-1	-4.6995670995671	0.0439579432430822
12	Pierce	all	NA	-1	-9.69630369630521	0.0248395844574707
4	Ann Arbor	all	NA	-1	-12.3428571428571	0.0658121885170072
6	Ann Arbor	all	NA	-1	-14.7510204081656	0.0163964640454507
8	Ann Arbor	all	NA	-1	-7.66666666666747	0.0499678931905371
10	Ann Arbor	all	NA	-1	-5.93419913419912	0.0352092068612531
12	Ann Arbor	all	NA	-1	-5.57592407592478	0.00641867684452411
4	Boston	all	NA	-1	-11.0714285714286	0.265188249414354
6	Boston	all	NA	1	1.70612244897907	0.745834327752487
8	Boston	all	NA	1	1.91326530612267	0.498782873255968
10	Boston	all	NA	-1	-1.16190476190477	0.589716771340215
12	Boston	all	NA	-1	-3.62087912087916	0.0557411535357881
4	San Diego	all	NA	-1	-38.7	0.440649395802542
6	San Diego	all	NA	-1	-8.53061224489629	0.757516059165506
8	San Diego	all	NA	-1	-52.2397959183683	0.0433440048587842
10	San Diego	all	NA	-1	-81.9904761904761	0.001226829165381
12	San Diego	all	NA	-1	-124.618381618387	7.9782739686645e-05
4	DC	all	NA	-1	-12	0.424452292051049
6	DC	all	NA	-1	-6.4857142857154	0.257065992810003
8	DC	all	NA	-1	-7.1207482993201	0.0349740835652176
10	DC	all	NA	-1	-8.08225108225107	0.00227248291624095
12	DC	all	NA	-1	-10.4900099900103	0.000157365241986547
4	USA	all	NA	-1	-6938.6	0.0220325292101151
6	USA	all	NA	-1	-6665.33061224555	0.000629645154278408
8	USA	all	NA	-1	-7901.09523809564	1.78418865996957e-05
10	USA	all	NA	-1	-8048.86406926406	3.29084547123267e-06
12	USA	all	NA	-1	-8463.83116883184	2.80160770491811e-08
