width	place	age	end.date	sign	slope	pval
4	state	all	NA	1	55.7496351929665	3.09136643836448e-08
6	state	all	NA	1	55.7348946998308	3.88423445798985e-15
8	state	all	NA	1	55.6672041407335	7.94858149925672e-19
10	state	all	NA	1	55.5465635159864	3.92878436491042e-22
12	state	all	NA	1	55.3729728255379	4.52067510654964e-25
4	King	all	NA	1	14.8072679781006	4.87884413074103e-08
6	King	all	NA	1	14.7856298591666	5.45279352190966e-13
8	King	all	NA	1	14.7500386616058	4.73308832697963e-17
10	King	all	NA	1	14.7004943855007	1.60786604553905e-20
12	King	all	NA	1	14.6369970308377	1.53226551151778e-23
4	Snohomish	all	NA	1	6.21844930724201	2.497112678525e-08
6	Snohomish	all	NA	1	6.21282410878026	7.75784501901726e-14
8	Snohomish	all	NA	1	6.20411319404629	1.86211820598986e-18
10	Snohomish	all	NA	1	6.19231656307471	1.73313213357957e-22
12	Snohomish	all	NA	1	6.1774342158599	4.47425120825173e-26
4	Pierce	all	NA	1	4.20174435934637	1.07766088590123e-08
6	Pierce	all	NA	1	4.203196241722	1.52003979503099e-15
8	Pierce	all	NA	1	4.20473529213425	7.11839891229262e-22
10	Pierce	all	NA	1	4.20636151060621	7.7841595072466e-28
12	Pierce	all	NA	1	4.20807489713425	1.66249077002067e-33
4	Ann Arbor	all	NA	1	0.0844395082601977	0.00058782864201253
6	Ann Arbor	all	NA	1	0.0855642385978931	8.58461383755084e-08
8	Ann Arbor	all	NA	1	0.0803949344768676	2.45467831344783e-08
10	Ann Arbor	all	NA	1	0.0689315958974456	3.85353587447738e-07
12	Ann Arbor	all	NA	1	0.0511742228596218	4.52127249469394e-05
4	Boston	all	NA	1	6.1335702052661	2.60547328357412e-07
6	Boston	all	NA	1	6.10026483819414	1.16777763341702e-10
8	Boston	all	NA	1	6.03676933856208	3.18218262655819e-13
10	Boston	all	NA	1	5.94308370640415	3.45626769530112e-15
12	Boston	all	NA	1	5.81920794171472	1.13597008342119e-16
4	San Diego	all	NA	1	102.053346096232	3.92120257058345e-07
6	San Diego	all	NA	1	102.1781742579	2.73297303395062e-13
8	San Diego	all	NA	1	102.211163645939	2.72643679902775e-20
10	San Diego	all	NA	1	102.15231426092	6.79315313316084e-26
12	San Diego	all	NA	1	102.001626102749	1.77275900353439e-28
4	DC	all	NA	1	4.63786505647479	1.64093648133353e-06
6	DC	all	NA	1	4.61460060274704	6.99053228305264e-11
8	DC	all	NA	1	4.58593115387611	1.58842088122782e-14
10	DC	all	NA	1	4.55185670988772	1.20295475656202e-17
12	DC	all	NA	1	4.51237727077769	2.36350435096025e-20
4	USA	all	NA	1	5544.75977356194	2.10010405056923e-08
6	USA	all	NA	1	5541.56653422919	2.85035201892857e-14
8	USA	all	NA	1	5531.86225255535	6.90099558437018e-18
10	USA	all	NA	1	5515.64692857139	4.58729522154777e-21
12	USA	all	NA	1	5492.9205622722	7.64785446021983e-24
