date	state	King	Snohomish	Pierce	Ann Arbor	Boston	San Diego	DC	USA
2020-01-26	0	0	0	0	0	0	0	0	0
2020-01-27	0	0	0	0	0	0	0	0	0
2020-01-28	0	0	0	0	0	0	0	0	0
2020-01-29	0	0	0	0	0	0	0	0	0
2020-01-30	0	0	0	0	0	0	0	0	0
2020-01-31	0	0	0	0	0	0	0	0	0
2020-02-01	0	0	0	0	0	0	0	0	0
2020-02-02	0	0	0	0	0	0	0	0	0
2020-02-03	0	0	0	0	0	0	0	0	0
2020-02-04	0	0	0	0	0	0	0	0	0
2020-02-05	0	0	0	0	0	0	0	0	0
2020-02-06	0	0	0	0	0	0	0	0	0
2020-02-07	0	0	0	0	0	0	0	0	0
2020-02-08	0	0	0	0	0	0	0	0	0
2020-02-09	0	0	0	0	0	0	0	0	0
2020-02-10	0	0	3.79544156215714	0	0	0	0	0	0
2020-02-11	0	3.99045844993511	8.72398596571736	0	0	0	0	0	0
2020-02-12	1.69964149508915	8.1231853236874	13.7609000440485	0	0	0	0	0	0
2020-02-13	4.26937912959491	12.3590730241198	18.9144047543174	1.08517787186859	0	0	0	0	0
2020-02-14	6.91358527184486	16.7054710610453	24.1927210536907	3.08901524318004	2.16542655336542	0	0	0	0
2020-02-15	9.63729843608674	21.1697289442771	29.6040698993353	5.15836847516474	6.36052375037678	0	0	0	0
2020-02-16	12.4455571365683	25.7591961836284	35.156672248418	7.29744457166584	10.7075304939967	0	0	0	0
2020-02-17	15.3431007957068	30.4806012468791	40.8578824822359	9.51026536628334	15.2154071353102	0	0	0	0
2020-02-18	18.3334724685974	35.3381884336768	46.7115886786081	11.8001120116446	19.8919575983993	12.7921832172666	0	0	2.85899710350175
2020-02-19	21.4199161185051	40.335581001636	52.7208123394839	14.1700804901337	24.744696700595	30.765607548021	0.437198585123147	0	6.47266417453444
2020-02-20	24.6056757086947	45.476402208371	58.8885749668129	16.6232667841349	29.7811392592287	49.61226812223	1.48604172368342	0	10.2607132611781
2020-02-21	27.8939952024308	50.7642753114963	65.2178980625444	19.1627668760323	35.0088000916314	69.3796785230517	2.59032649342084	0	14.2324795116256
2020-02-22	31.2881185629784	56.2028235686263	71.7118031286279	21.7916767482102	40.4351940151345	90.115352333644	3.75306790878204	0	18.3972980740697
