width	place	age	end.date	sign	slope	pval
7	state	all	NA	-1	-1.53571428571395	0.691587209228717
14	state	all	NA	1	0.0395604395604465	0.973860810870405
21	state	all	NA	1	0.0766233766233759	0.89698922620284
28	state	all	NA	1	0.0259989053089876	0.95011847649519
35	state	all	NA	1	0.120728291316597	0.664316184437109
42	state	all	NA	1	0.108013937282252	0.591263054797479
7	King	all	NA	-1	-0.571428571428501	0.555353990118968
14	King	all	NA	1	0.0747252747252759	0.788000878641576
21	King	all	NA	-1	-0.0493506493506513	0.751133690514558
28	King	all	NA	-1	-0.0054734537493132	0.960173315343123
35	King	all	NA	1	0.0100840336134743	0.894329066113669
42	King	all	NA	1	0.00226885989789673	0.968470383900484
7	Snohomish	all	NA	1	4.35360792691051e-14	0.999999999999918
14	Snohomish	all	NA	1	7.43431404851681e-16	0.999999999999996
21	Snohomish	all	NA	1	0.0129870129870128	0.834245956253847
28	Snohomish	all	NA	-1	-0.00656814449916812	0.898434177998664
35	Snohomish	all	NA	1	0.0128851540616315	0.703155690249195
42	Snohomish	all	NA	1	0.0102098695405584	0.671935832301389
7	Pierce	all	NA	1	0.071428571428566	0.660642155240638
14	Pierce	all	NA	-1	-0.0835164835164823	0.419696462782901
21	Pierce	all	NA	1	0.0311688311688321	0.716345450588029
28	Pierce	all	NA	-1	-0.00136836343737496	0.978548470295414
35	Pierce	all	NA	1	0.0154061624649856	0.637866284685497
42	Pierce	all	NA	1	0.0201766469491842	0.397909731338896
7	Ann Arbor	all	NA	-1	-0.285714285714199	0.363217467649223
14	Ann Arbor	all	NA	-1	-0.0131868131868128	0.871515328919784
21	Ann Arbor	all	NA	1	0.00259740259740293	0.945990766631433
28	Ann Arbor	all	NA	-1	-0.00246305418717652	0.920905681633858
35	Ann Arbor	all	NA	-1	-0.00308123249299132	0.861856835775247
42	Ann Arbor	all	NA	1	0.000162061421276412	0.989894163013449
7	Boston	all	NA	-1	-0.0714285714285769	0.530091618670372
14	Boston	all	NA	-1	-0.0615384615384606	0.293524580328524
21	Boston	all	NA	-1	-0.0493506493506487	0.161525446375882
28	Boston	all	NA	-1	-0.0322933771209095	0.177692958988777
35	Boston	all	NA	-1	-0.0212885154061454	0.198929347615144
42	Boston	all	NA	-1	-0.0135321286767642	0.275591047829952
7	San Diego	all	NA	-1	-0.285714285714172	0.545033389132004
14	San Diego	all	NA	-1	-0.11208791208791	0.683369692114365
21	San Diego	all	NA	1	0.041558441558442	0.731565158793636
28	San Diego	all	NA	-1	-0.00711548987405796	0.924739980317823
35	San Diego	all	NA	-1	-0.0274509803921284	0.62751715622806
42	San Diego	all	NA	-1	-0.0034843205575006	0.930592283449611
7	DC	all	NA	1	0.071428571428566	0.660642155240638
14	DC	all	NA	1	0.0395604395604393	0.281392168621317
21	DC	all	NA	1	0.0129870129870129	0.465177960086042
28	DC	all	NA	1	0.00492610837438457	0.647429922191171
35	DC	all	NA	-1	-0.0128851540616165	0.247186132659061
42	DC	all	NA	-1	-0.0023498906085425	0.764928711271985
7	USA	all	NA	-1	-72.714285714269	0.300036344052795
14	USA	all	NA	-1	-22.3252747252744	0.293745156362643
21	USA	all	NA	-1	-8.08441558441539	0.437666238274939
28	USA	all	NA	-1	-8.11412151066422	0.26411991740297
35	USA	all	NA	-1	-3.07507002800673	0.533018595337686
42	USA	all	NA	-1	-2.99376063528216	0.433997930893195
